Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-08-22 00:00:00+03:00,36.86,37.03,36.01,36.53,69584162,0.0,0.0
2023-08-23 00:00:00+03:00,36.58,37.28,36.18,36.31,104425132,0.0,0.0
2023-08-24 00:00:00+03:00,36.43,38.6,36.43,36.93,186398638,0.0,0.0
2023-08-25 00:00:00+03:00,36.93,38.31,36.63,37.71,83352906,0.0,2.0
2023-08-28 00:00:00+03:00,38.03,39.53,38.03,39.29,114588213,0.0,0.0
2023-08-29 00:00:00+03:00,39.35,39.72,38.19,38.57,63295810,0.0,0.0
2023-08-31 00:00:00+03:00,38.63,39.43,38.33,38.45,102372288,0.0,0.0
2023-09-01 00:00:00+03:00,38.65,39.27,38.37,38.65,70189686,0.0,0.0
2023-09-04 00:00:00+03:00,38.93,39.23,38.33,38.49,80330654,0.0,0.0
2023-09-05 00:00:00+03:00,38.49,38.51,37.77,38.43,55299481,0.0,0.0
2023-09-06 00:00:00+03:00,38.93,42.02,38.87,41.1,262034834,0.0,0.0
2023-09-07 00:00:00+03:00,41.18,42.88,40.74,41.92,145721826,0.0,0.0
2023-09-08 00:00:00+03:00,41.92,43.46,41.6,43.42,127507385,0.0,0.0
2023-09-11 00:00:00+03:00,43.58,43.88,41.24,41.44,80393859,0.0,0.0
2023-09-12 00:00:00+03:00,41.58,42.98,40.78,42.68,103169982,0.0,0.0
2023-09-13 00:00:00+03:00,42.34,42.72,40.82,41.22,69785727,0.0,0.0
2023-09-14 00:00:00+03:00,41.16,41.62,39.47,41.62,68822478,0.0,0.0
2023-09-15 00:00:00+03:00,41.68,42.3,40.52,40.74,81368095,0.0,0.0
2023-09-18 00:00:00+03:00,40.42,40.46,38.37,38.37,57030959,0.0,0.0
2023-09-19 00:00:00+03:00,38.37,39.98,38.11,39.53,84333215,0.0,0.0
2023-09-20 00:00:00+03:00,39.53,39.9,37.93,37.93,53073789,0.0,0.0
2023-09-21 00:00:00+03:00,37.79,39.86,37.37,39.78,62283935,0.0,0.0
2023-09-22 00:00:00+03:00,39.78,41.44,39.61,40.44,75305563,0.0,0.0
2023-09-25 00:00:00+03:00,40.54,42.32,40.54,42.22,68432473,0.0,0.0
2023-09-26 00:00:00+03:00,42.5,42.52,40.72,40.92,60832577,0.0,0.0
2023-09-27 00:00:00+03:00,40.92,41.28,40.04,40.52,44659256,0.0,0.0
2023-09-28 00:00:00+03:00,40.42,40.98,40.16,40.24,44688324,0.0,0.0
2023-09-29 00:00:00+03:00,40.34,41.16,40.2,40.72,58901834,0.0,0.0
2023-10-02 00:00:00+03:00,40.76,41.96,40.76,41.46,78343290,0.0,0.0
2023-10-03 00:00:00+03:00,41.46,42.28,41.02,41.22,60202474,0.0,0.0
2023-10-04 00:00:00+03:00,41.12,41.38,40.5,40.5,46406796,0.0,0.0
2023-10-05 00:00:00+03:00,40.56,41.7,39.86,41.58,76083346,0.0,0.0
2023-10-06 00:00:00+03:00,40.94,41.58,40.68,40.84,39234858,0.0,0.0
2023-10-09 00:00:00+03:00,41.54,44.26,41.54,43.8,236318919,0.0,0.0
2023-10-10 00:00:00+03:00,42.92,43.96,42.48,42.8,132732566,0.0,0.0
2023-10-11 00:00:00+03:00,43.12,43.38,41.6,41.9,74384917,0.0,0.0
2023-10-12 00:00:00+03:00,41.9,44.0,41.88,43.02,175339595,0.0,0.0
2023-10-13 00:00:00+03:00,42.84,43.92,42.52,42.52,93499381,0.0,0.0
2023-10-16 00:00:00+03:00,42.54,42.74,40.42,40.42,60473167,0.0,0.0
2023-10-17 00:00:00+03:00,40.42,40.98,40.1,40.84,45576709,0.0,0.0
2023-10-18 00:00:00+03:00,41.58,41.76,39.57,39.63,56641759,0.0,0.0
2023-10-19 00:00:00+03:00,39.65,41.44,39.63,41.02,85686621,0.0,0.0
2023-10-20 00:00:00+03:00,41.04,42.64,39.51,40.04,102129926,0.0,0.0
2023-10-23 00:00:00+03:00,40.08,41.32,39.55,40.72,53915395,0.0,0.0
2023-10-24 00:00:00+03:00,40.86,42.12,40.66,41.86,53687009,0.0,0.0
2023-10-25 00:00:00+03:00,41.78,42.44,38.69,39.57,83796649,0.0,0.0
2023-10-26 00:00:00+03:00,39.98,42.02,39.37,41.38,73241388,0.0,0.0
2023-10-27 00:00:00+03:00,41.12,41.84,40.14,41.8,43546904,0.0,0.0
2023-10-30 00:00:00+03:00,41.68,42.46,41.22,41.8,50211763,0.0,0.0
2023-10-31 00:00:00+03:00,41.86,42.38,40.94,41.26,50969876,0.0,0.0
2023-11-01 00:00:00+03:00,41.56,41.88,39.92,41.46,43257321,0.0,0.0
2023-11-02 00:00:00+03:00,41.52,43.68,41.36,43.32,86190501,0.0,0.0
2023-11-03 00:00:00+03:00,43.12,43.86,42.7,43.34,62031952,0.0,0.0
2023-11-06 00:00:00+03:00,43.8,44.93,43.74,44.26,49055482,0.0,0.0
2023-11-07 00:00:00+03:00,44.26,44.56,42.8,43.1,41836304,0.0,0.0
2023-11-08 00:00:00+03:00,43.22,43.54,42.74,42.82,46174900,0.0,0.0
2023-11-09 00:00:00+03:00,42.48,42.74,41.66,42.6,37101855,0.0,0.0
2023-11-10 00:00:00+03:00,42.5,43.12,41.86,42.08,31546183,0.0,0.0
2023-11-13 00:00:00+03:00,42.08,42.22,40.92,41.04,27916607,0.0,0.0
2023-11-14 00:00:00+03:00,41.1,41.66,40.66,41.24,36394911,0.0,0.0
2023-11-15 00:00:00+03:00,41.4,41.66,40.64,40.92,30794034,0.0,0.0
2023-11-16 00:00:00+03:00,40.92,41.92,40.92,41.66,37283142,0.0,0.0
2023-11-17 00:00:00+03:00,41.68,42.48,41.56,42.14,33802389,0.0,0.0
2023-11-20 00:00:00+03:00,42.42,45.01,42.4,44.52,87684062,0.0,0.0
2023-11-21 00:00:00+03:00,44.32,46.37,44.0,46.37,79281023,0.0,0.0
2023-11-22 00:00:00+03:00,46.06,47.52,45.8,46.2,84592375,0.09,0.0
2023-11-23 00:00:00+03:00,46.02,47.84,46.0,46.52,69027368,0.0,0.0
2023-11-24 00:00:00+03:00,46.6,48.32,45.5,47.8,79159062,0.0,0.0
2023-11-27 00:00:00+03:00,48.0,49.64,48.0,49.4,66608998,0.0,0.0
2023-11-28 00:00:00+03:00,49.38,49.86,48.12,48.54,45802248,0.0,0.0
2023-11-29 00:00:00+03:00,48.6,49.16,47.9,48.0,44130651,0.0,0.0
2023-11-30 00:00:00+03:00,47.66,49.56,47.64,48.84,65551625,0.0,0.0
2023-12-01 00:00:00+03:00,49.48,49.62,47.98,48.5,31513859,0.0,0.0
2023-12-04 00:00:00+03:00,48.62,49.66,48.12,49.1,59969592,0.0,0.0
2023-12-05 00:00:00+03:00,49.2,50.4,48.98,49.58,48783953,0.0,0.0
2023-12-06 00:00:00+03:00,49.7,49.98,47.3,47.3,60273339,0.0,0.0
2023-12-07 00:00:00+03:00,47.3,47.52,45.94,46.82,45758455,0.0,0.0
2023-12-08 00:00:00+03:00,46.92,47.74,45.88,46.18,43106358,0.0,0.0
2023-12-11 00:00:00+03:00,46.2,46.9,45.68,46.18,44543430,0.0,0.0
2023-12-12 00:00:00+03:00,46.18,46.38,45.18,45.82,37644641,0.0,0.0
2023-12-13 00:00:00+03:00,45.78,46.4,45.36,45.36,39398580,0.0,0.0
2023-12-14 00:00:00+03:00,45.74,47.32,45.64,46.6,39382612,0.0,0.0
2023-12-15 00:00:00+03:00,46.64,49.96,46.64,49.6,82705139,0.0,0.0
2023-12-18 00:00:00+03:00,49.6,50.4,47.5,47.52,48425326,0.0,0.0
2023-12-19 00:00:00+03:00,47.52,49.06,46.74,48.4,49615614,0.0,0.0
2023-12-20 00:00:00+03:00,48.4,48.4,46.02,46.02,36916613,0.0,0.0
2023-12-21 00:00:00+03:00,46.02,47.8,45.82,47.62,45267266,0.0,0.0
2023-12-22 00:00:00+03:00,47.62,47.78,45.6,45.6,29274980,0.0,0.0
2023-12-25 00:00:00+03:00,45.6,46.1,43.86,44.18,39458445,0.0,0.0
2023-12-26 00:00:00+03:00,44.6,44.94,43.12,43.52,47958048,0.0,0.0
2023-12-27 00:00:00+03:00,43.64,44.2,42.9,43.02,42364922,0.0,0.0
2023-12-28 00:00:00+03:00,43.16,45.66,43.16,44.78,40091534,0.0,0.0
2023-12-29 00:00:00+03:00,44.96,45.32,44.26,44.98,36849927,0.0,0.0
2024-01-02 00:00:00+03:00,45.44,47.12,45.14,46.9,46539543,0.0,0.0
2024-01-03 00:00:00+03:00,46.74,47.26,45.92,46.6,39344694,0.0,0.0
2024-01-04 00:00:00+03:00,46.66,47.58,46.56,47.46,43861988,0.0,0.0
2024-01-05 00:00:00+03:00,47.62,47.92,46.82,47.44,33674790,0.0,0.0
2024-01-08 00:00:00+03:00,47.64,48.24,47.38,47.64,43664505,0.0,0.0
