Date,QUAGR,ASELS,FROTO,THYAO,AKSEN,ENKAI,TCELL,GUBRF,TURSG,YKBNK,TOASO,SAHOL,PETKM,KOZAA,ALARK,HEKTS,SISE,BIMAS,TAVHL,KRDMD,ODAS,TUPRS,ARCLK,EKGYO,TRY=X
2024-01-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,30.292
2024-01-25 00:00:00+03:00,4.31,48.48,839.0,252.25,35.22,35.34,66.95,139.0,48.96,21.7,238.0,68.8,20.4,48.5,97.8,17.43,47.88,364.25,129.2,25.7,9.15,144.8,136.5,9.61,
2024-01-24 00:00:00+03:00,3.92,48.4,827.5,251.0,33.14,35.14,66.0,137.8,49.44,21.9,235.0,69.05,20.04,46.6,94.85,17.06,47.72,367.75,126.0,25.14,8.97,142.5,133.5,9.53,
2024-01-23 00:00:00+03:00,3.88,47.26,807.5,248.8,32.98,34.08,65.6,137.7,48.9,20.84,232.7,67.8,19.67,46.02,93.2,17.04,47.2,361.0,125.1,24.84,8.63,140.0,133.3,9.4,
2024-01-23 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,30.2588
2024-01-22 00:00:00+03:00,3.9,47.12,796.5,250.25,33.18,34.32,64.6,141.4,47.66,22.22,231.0,68.7,19.85,47.1,95.0,17.27,47.82,345.5,126.4,24.96,8.64,141.2,131.5,9.47,
2024-01-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,30.1914
2024-01-19 00:00:00+03:00,3.87,47.46,797.0,250.25,33.28,34.38,64.35,137.6,46.38,22.16,229.3,68.9,19.82,47.56,96.0,17.62,48.0,335.0,128.0,25.06,8.45,139.3,128.7,8.78,
2024-01-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,30.1536
2024-01-18 00:00:00+03:00,3.9,48.4,798.0,250.75,33.86,34.86,64.45,136.2,46.7,21.98,231.0,70.0,20.16,46.1,97.0,17.25,47.82,333.75,127.4,25.3,8.54,139.9,128.6,8.98,
2024-01-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,30.1378
2024-01-17 00:00:00+03:00,3.97,48.3,801.0,252.5,34.04,34.8,65.0,135.9,45.28,22.18,231.0,69.75,20.42,46.86,95.2,16.78,48.0,333.25,127.9,25.34,8.4,142.1,130.7,8.78,
2024-01-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,30.1181
2024-01-16 00:00:00+03:00,3.97,48.08,818.0,249.8,33.5,35.04,64.25,138.6,45.28,22.26,235.2,68.75,20.68,45.94,96.75,17.03,48.54,335.0,125.6,25.78,8.44,143.2,131.2,8.39,
2024-01-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,30.0728
2024-01-15 00:00:00+03:00,4.02,47.62,812.0,253.25,32.6,34.82,62.35,138.9,44.82,22.42,236.6,69.8,20.48,46.1,95.25,17.33,48.24,338.5,125.6,26.0,8.44,140.9,132.8,8.27,
2024-01-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,30.0636
2024-01-12 00:00:00+03:00,4.02,47.54,787.0,251.0,32.5,34.98,61.0,145.5,44.68,22.94,229.6,69.0,20.4,45.36,94.55,17.4,47.74,335.0,123.0,26.12,8.44,139.7,132.3,8.19,
2024-01-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,30.0609
2024-01-11 00:00:00+03:00,3.98,46.88,778.0,246.7,32.9,35.26,60.85,141.1,45.0,23.3,227.9,68.35,20.04,43.54,93.85,17.58,47.8,328.25,117.8,25.86,8.54,139.6,129.5,8.17,
2024-01-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,29.8542
2024-01-10 00:00:00+03:00,4.0,47.48,768.0,249.9,32.98,35.36,61.5,144.1,46.14,23.56,221.2,66.0,20.1,42.66,92.8,18.43,48.46,318.25,117.0,25.42,8.53,139.7,130.1,8.25,
2024-01-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,29.9618
2024-01-09 00:00:00+03:00,4.05,46.94,754.5,242.9,31.94,33.68,62.5,149.0,46.14,22.42,217.5,62.2,19.65,42.0,91.2,19.27,47.2,319.5,114.5,24.72,8.4,138.1,128.3,8.13,
2024-01-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,29.9139
2024-01-08 00:00:00+03:00,4.18,47.64,773.5,242.6,32.08,33.82,62.1,151.5,46.3,22.0,220.4,62.2,20.4,42.96,92.9,19.63,47.98,319.0,114.6,25.54,8.53,140.0,132.0,7.94,
2024-01-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,29.7843
2024-01-05 00:00:00+03:00,4.23,47.44,745.5,239.2,30.06,33.28,61.25,152.8,45.16,20.0,221.0,60.0,19.43,43.0,91.45,19.73,45.8,307.25,114.0,24.9,8.37,143.8,128.0,7.64,
2024-01-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,29.8409
2024-01-04 00:00:00+03:00,4.22,47.46,750.0,233.3,29.82,33.3,59.0,161.6,43.4,19.91,220.0,59.85,19.54,43.34,92.4,19.9,45.5,302.5,112.0,24.84,8.22,143.7,128.7,7.26,
2024-01-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,29.7791
2024-01-03 00:00:00+03:00,4.66,46.6,740.0,230.1,29.2,32.84,57.7,163.5,41.76,19.39,215.3,58.95,18.15,41.9,90.9,19.9,44.54,292.25,109.8,24.18,8.18,140.5,126.1,6.88,
2024-01-03 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,29.7449
2024-01-02 00:00:00+03:00,5.17,46.9,765.0,236.4,30.04,33.6,58.6,169.1,42.2,19.76,219.2,60.7,18.68,43.18,92.8,20.28,46.16,301.0,108.1,25.2,8.49,144.0,128.4,7.15,
2024-01-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,29.4282
2024-01-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,29.0181
2023-12-29 00:00:00+03:00,5.74,44.98,739.5,228.6,29.74,33.5,56.1,153.8,40.56,19.54,210.0,60.45,18.21,42.42,90.6,20.1,45.82,300.75,107.5,23.76,8.25,143.0,128.5,6.88,
2023-12-29 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,29.5198
2023-12-28 00:00:00+03:00,5.34,44.78,747.0,229.0,29.58,33.7,56.2,139.9,39.3,19.23,212.2,61.35,17.59,42.34,89.65,20.36,46.7,307.5,106.1,24.0,8.07,144.6,124.2,6.94,
2023-12-28 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,29.3879
2023-12-27 00:00:00+03:00,5.21,43.02,732.5,222.2,28.84,33.21,53.7,155.4,38.82,19.16,211.8,60.75,17.05,40.68,86.9,20.22,46.84,306.0,103.1,23.02,7.82,146.2,124.0,6.76,
2023-12-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,29.3059
2023-12-26 00:00:00+03:00,5.31,43.52,736.0,227.7,28.52,33.64,53.1,172.6,37.66,19.96,211.5,61.7,17.28,39.48,86.75,20.16,45.72,303.75,102.5,22.38,7.7,143.5,125.1,6.84,
2023-12-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,29.3114
2023-12-25 00:00:00+03:00,5.39,44.18,728.0,226.2,28.84,33.44,53.0,191.7,36.02,20.06,206.0,60.65,17.38,39.2,85.1,20.0,45.46,301.0,104.6,22.4,7.55,139.0,125.0,6.91,
2023-12-25 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.8333
2023-12-22 00:00:00+03:00,5.75,45.6,746.5,233.0,30.02,35.2,55.05,212.9,36.48,20.46,212.5,63.55,18.11,42.22,87.95,20.9,46.38,309.5,108.7,23.3,8.13,144.8,125.7,7.08,
2023-12-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,29.1035
2023-12-21 00:00:00+03:00,5.9,47.62,770.5,245.0,31.5,36.32,55.95,236.5,36.7,20.8,218.3,65.7,18.61,44.64,90.6,21.6,47.66,309.25,113.5,23.74,8.79,152.5,129.9,7.2,
2023-12-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,29.1255
2023-12-20 00:00:00+03:00,5.86,46.02,763.0,241.9,29.34,36.65,53.85,262.75,36.82,20.92,215.0,64.4,18.16,43.12,87.25,21.4,46.98,304.0,110.0,23.28,8.65,149.7,124.5,7.12,
2023-12-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,29.0887
2023-12-19 00:00:00+03:00,5.88,48.4,769.0,245.3,29.94,35.79,53.47,291.75,37.14,20.64,220.0,63.55,18.48,44.66,88.35,22.46,47.42,302.25,111.8,23.86,8.94,147.3,124.0,7.1,
2023-12-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,29.0387
2023-12-18 00:00:00+03:00,5.89,47.52,772.0,245.7,30.64,35.65,53.77,324.0,35.98,21.3,221.0,66.2,18.89,45.54,90.85,23.92,47.36,314.87,111.0,23.3,8.96,146.3,125.1,7.31,
2023-12-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.8404
2023-12-15 00:00:00+03:00,6.2,49.6,801.5,253.25,30.76,35.28,55.53,360.0,37.12,21.64,233.7,66.9,19.58,48.44,93.5,23.22,48.48,317.35,115.5,23.64,9.23,151.2,128.3,7.41,
2023-12-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.9766
2023-12-14 00:00:00+03:00,6.1,46.6,771.0,252.25,30.66,33.9,54.85,355.0,36.44,21.5,226.2,64.35,19.0,47.48,90.2,21.54,47.3,310.17,113.8,22.3,9.21,151.7,124.5,7.26,
2023-12-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.9918
2023-12-13 00:00:00+03:00,5.9,45.36,751.0,241.3,30.62,33.46,51.22,334.0,34.5,20.3,216.6,61.0,18.39,44.96,88.2,20.54,45.96,299.03,109.8,21.38,8.98,144.1,122.5,6.96,
2023-12-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,29.0271
2023-12-12 00:00:00+03:00,5.86,45.82,798.0,249.0,32.24,33.76,54.65,337.75,35.58,20.24,221.3,60.9,18.89,47.38,89.2,21.3,46.94,307.45,113.5,22.08,9.4,147.0,126.2,7.4,
2023-12-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.9611
2023-12-11 00:00:00+03:00,5.88,46.18,794.0,246.3,31.9,32.52,56.91,348.0,37.04,19.59,221.0,60.45,19.11,48.26,89.65,21.38,46.66,313.14,114.4,22.52,9.65,148.8,126.1,7.51,
2023-12-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.8761
2023-12-08 00:00:00+03:00,5.85,46.18,809.5,254.0,33.08,32.5,57.4,358.0,39.0,19.67,225.0,61.85,20.12,50.7,93.8,21.1,47.44,318.59,116.6,23.34,9.99,152.6,133.2,7.9,
2023-12-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.9107
2023-12-07 00:00:00+03:00,5.85,46.82,810.0,259.75,33.6,32.44,56.91,367.25,37.8,19.89,230.4,62.7,20.48,52.3,99.1,21.9,47.98,320.32,114.9,23.78,10.09,155.0,135.1,7.66,
2023-12-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.9149
2023-12-06 00:00:00+03:00,5.73,47.3,790.5,251.25,33.4,31.96,56.61,363.0,38.46,20.42,224.3,61.35,20.1,52.5,96.0,21.6,46.9,309.92,112.4,23.2,10.11,149.9,133.1,7.38,
2023-12-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.9147
2023-12-05 00:00:00+03:00,5.94,49.58,829.5,259.0,34.24,33.34,56.81,381.5,39.18,20.28,232.3,61.95,21.06,55.8,99.5,23.0,48.4,305.72,116.7,24.24,10.9,154.8,136.5,7.38,
2023-12-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.9178
2023-12-04 00:00:00+03:00,5.94,49.1,852.5,262.0,34.4,34.35,56.51,392.5,36.68,20.52,242.9,62.35,21.62,55.5,100.1,23.54,48.96,304.73,117.7,24.24,11.29,154.1,137.4,7.49,
2023-12-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.8962
2023-12-01 00:00:00+03:00,5.99,48.5,833.5,260.75,34.1,34.39,57.4,393.5,37.4,19.82,239.1,62.0,21.7,55.1,100.9,22.7,48.92,302.5,116.8,24.44,10.81,153.3,136.6,7.35,
2023-12-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.8864
2023-11-30 00:00:00+03:00,5.81,48.84,841.0,251.0,34.42,34.64,56.76,380.0,38.12,19.2,238.5,60.95,21.6,55.2,100.8,22.3,49.26,304.97,116.0,24.7,10.93,152.9,135.9,7.37,
2023-11-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.9409
2023-11-29 00:00:00+03:00,5.69,48.0,842.0,255.0,34.92,34.8,56.17,364.5,38.34,19.34,250.5,62.35,21.44,55.3,101.3,22.86,50.65,308.93,117.1,24.58,11.58,154.9,139.9,7.4,
2023-11-29 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.9186
2023-11-28 00:00:00+03:00,5.83,48.54,844.0,261.0,35.4,35.18,57.74,367.75,40.6,19.22,243.9,62.25,21.94,57.2,102.0,22.0,50.0,312.15,121.3,24.78,11.83,156.0,142.5,7.5,
2023-11-28 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.9094
2023-11-27 00:00:00+03:00,5.88,49.4,822.5,260.5,35.2,34.09,57.54,373.25,41.96,19.01,241.3,62.55,22.26,56.15,104.2,21.04,50.0,317.35,121.8,24.99,12.0,156.0,142.9,7.6,
2023-11-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.8426
2023-11-24 00:00:00+03:00,5.93,47.8,819.5,259.75,34.12,33.92,56.96,369.25,41.44,17.82,240.0,61.1,21.92,55.25,100.7,20.56,49.36,313.39,119.5,24.57,11.7,150.5,142.2,7.32,
2023-11-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.8407
2023-11-23 00:00:00+03:00,5.87,46.52,814.5,260.75,34.24,33.52,56.22,371.75,41.0,17.59,244.0,60.55,21.36,56.1,100.8,20.48,49.2,306.46,119.6,24.27,11.53,149.9,142.2,7.26,
2023-11-23 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.8318
2023-11-22 00:00:00+03:00,5.94,46.2,834.0,262.0,34.74,34.45,56.42,372.25,38.9,17.17,247.0,61.35,21.96,58.7,100.8,20.96,50.15,306.46,121.7,25.21,11.91,155.6,145.8,7.56,
2023-11-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.794
2023-11-21 00:00:00+03:00,6.29,46.37,840.0,268.5,35.26,33.3,56.42,374.5,37.36,17.24,251.75,60.6,22.28,57.35,102.0,21.08,50.45,310.17,123.7,25.33,11.86,154.5,143.7,7.62,
2023-11-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.7778
2023-11-20 00:00:00+03:00,5.84,44.52,841.5,254.75,35.08,33.21,56.27,376.0,36.14,17.07,253.5,60.9,22.34,56.7,103.4,20.76,49.6,301.26,121.6,24.39,11.25,153.6,143.2,7.65,
2023-11-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.6478
2023-11-17 00:00:00+03:00,5.89,42.14,849.0,254.25,34.34,32.93,55.58,365.5,36.32,16.89,247.0,58.55,22.36,55.95,104.5,20.64,48.9,305.22,119.5,23.95,11.12,153.5,137.4,7.53,
2023-11-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.7019
2023-11-16 00:00:00+03:00,6.04,41.66,831.0,244.3,34.28,32.61,53.87,361.5,33.8,16.84,246.5,58.5,21.84,55.5,103.9,20.84,49.0,298.54,118.4,23.95,11.11,154.1,138.7,7.54,
2023-11-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.6797
2023-11-15 00:00:00+03:00,6.24,40.92,815.0,235.6,34.5,32.48,53.28,368.0,33.92,16.49,247.5,57.8,21.32,55.3,103.1,20.74,48.28,287.4,117.0,23.93,11.06,151.7,138.5,7.49,
2023-11-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.6412
2023-11-14 00:00:00+03:00,5.68,41.24,815.0,237.1,34.5,32.93,54.55,368.75,32.48,16.29,252.0,55.75,21.48,54.25,101.37,20.74,48.46,284.18,117.2,23.9,11.31,152.2,139.9,7.49,
2023-11-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.6061
2023-11-13 00:00:00+03:00,5.73,41.04,797.0,232.2,35.0,32.63,52.88,359.5,33.0,16.12,247.0,55.4,20.2,53.45,103.76,20.84,47.56,281.21,115.3,23.78,11.0,147.0,136.0,7.01,
2023-11-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.5137
2023-11-10 00:00:00+03:00,5.99,42.08,823.0,229.1,36.54,32.79,53.96,364.0,34.64,16.94,259.5,57.05,21.18,55.3,112.54,21.84,48.44,290.86,118.1,25.15,11.54,149.8,139.4,6.88,
2023-11-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.5258
2023-11-09 00:00:00+03:00,5.75,42.6,835.5,230.2,34.9,31.55,54.5,357.75,37.02,16.97,265.0,58.4,21.48,55.7,110.85,22.64,48.86,302.99,118.9,25.15,11.8,150.6,138.6,6.83,
2023-11-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.5173
2023-11-08 00:00:00+03:00,5.71,42.82,835.5,228.6,34.72,31.94,54.31,358.5,36.18,17.03,264.5,58.5,20.48,54.6,113.64,22.22,48.8,303.49,120.3,24.89,11.6,150.3,143.4,6.94,
2023-11-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.4952
2023-11-07 00:00:00+03:00,5.72,43.1,848.0,226.0,35.08,31.73,52.1,356.5,35.42,17.37,270.5,58.05,20.64,54.2,107.76,22.36,49.1,293.34,118.5,25.27,11.65,149.0,140.6,6.86,
2023-11-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.4476
2023-11-06 00:00:00+03:00,5.8,44.26,854.5,226.2,36.22,31.16,50.38,359.75,36.6,17.67,259.25,57.1,20.3,54.35,108.35,22.56,49.36,288.14,117.0,25.97,11.77,153.2,142.5,6.77,
2023-11-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.3832
2023-11-03 00:00:00+03:00,5.66,43.34,808.3,225.7,36.16,30.29,49.04,349.0,36.98,17.24,254.3,55.65,19.46,53.55,102.77,22.38,48.78,283.19,115.5,25.47,11.47,149.6,141.5,6.58,
2023-11-03 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.3589
2023-11-02 00:00:00+03:00,5.71,43.32,794.4,223.0,35.3,30.84,49.06,351.6,37.5,17.2,252.8,55.15,19.41,53.75,103.86,21.84,47.64,286.65,113.7,25.69,11.5,147.5,137.7,6.63,
2023-11-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.3231
2023-11-01 00:00:00+03:00,5.59,41.46,792.8,218.1,35.02,29.6,48.33,332.7,36.32,17.06,243.2,53.8,19.29,53.05,101.77,21.66,47.56,273.19,112.0,25.09,11.5,145.0,136.4,6.48,
2023-11-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.3024
2023-10-31 00:00:00+03:00,5.52,41.26,786.3,217.3,35.04,29.97,47.1,328.1,37.44,17.24,240.7,53.5,19.68,52.6,100.97,21.92,47.34,269.33,114.6,24.85,11.81,141.9,135.8,6.56,
2023-10-31 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.2574
2023-10-30 00:00:00+03:00,5.62,41.8,814.1,218.9,35.64,30.68,48.96,346.1,39.84,17.54,248.0,55.25,20.48,55.4,104.46,22.66,48.72,276.06,118.0,25.05,13.12,141.4,139.5,6.72,
2023-10-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,28.2028
2023-10-27 00:00:00+03:00,5.7,41.8,819.24,217.2,34.86,30.72,49.99,342.8,40.78,17.82,253.2,54.65,20.08,55.6,105.26,22.32,49.54,274.38,121.0,25.29,13.11,138.6,141.9,6.7,
2023-10-27 00:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,28.1667
