Date,Open,High,Low,Close,Volume,Open Interest
2014-04-01,106.0,106.7,105.65,106.25,5022.0,2282.0
2014-04-02,106.0,108.45,105.9,106.35,8147.0,3343.0
2014-04-03,108.15,110.1,108.0,108.4,7821.0,3384.0
2014-04-04,109.6,110.35,108.05,109.6,6639.0,3144.0
2014-04-07,108.0,109.9,107.8,108.0,6874.0,3208.0
2014-04-08,108.6,108.65,107.4,108.9,3029.0,3275.0
2014-04-09,108.7,110.75,108.35,108.6,8296.0,3537.0
2014-04-10,110.7,112.95,110.7,110.8,8559.0,3989.0
2014-04-11,112.6,113.5,111.7,112.8,10380.0,3366.0
2014-04-14,112.35,112.6,111.85,112.05,3188.0,3216.0
2014-04-15,111.8,111.8,109.5,111.95,6747.0,2856.0
2014-04-16,109.75,111.9,109.25,110.2,6985.0,3065.0
2014-04-17,111.3,112.0,110.3,111.35,4652.0,2782.0
2014-04-21,111.05,111.5,110.45,111.0,1939.0,2863.0
2014-04-22,111.3,113.35,111.3,111.25,5839.0,2932.0
2014-04-23,113.55,114.0,112.15,113.3,6074.0,2668.0
2014-04-25,112.65,113.15,110.15,112.55,8129.0,1807.0
2014-04-28,113.15,113.2,111.45,113.85,21.0,45.0
2014-04-29,111.2,111.2,109.6,111.95,34.0,48.0
2014-04-30,109.75,109.8,108.55,109.8,134.0,62.0
2014-05-01,108.1,108.1,107.55,108.85,77.0,81.0
2014-05-02,107.5,107.8,107.2,107.7,224.0,100.0
2014-05-05,107.75,108.2,107.7,107.55,50.0,100.0
2014-05-06,107.8,108.1,107.1,107.7,125.0,105.0
2014-05-07,107.55,107.55,105.75,107.0,204.0,143.0
2014-05-08,106.25,106.55,105.4,105.9,207.0,145.0
2014-05-09,106.3,106.65,105.15,106.0,207.0,190.0
2014-05-12,105.3,106.4,105.3,105.35,163.0,206.0
2014-05-13,106.2,106.85,105.6,106.2,205.0,220.0
2014-05-14,106.2,106.9,106.15,105.65,272.0,197.0
2014-05-15,106.6,106.85,105.0,107.05,594.0,389.0
2014-05-16,104.1,104.95,103.25,105.15,900.0,685.0
2014-05-19,103.5,104.0,103.15,103.5,654.0,854.0
2014-05-20,103.55,104.0,102.75,103.45,496.0,947.0
2014-05-21,103.55,103.9,102.8,103.5,521.0,1030.0
2014-05-22,103.7,104.6,103.3,103.55,754.0,939.0
2014-05-23,104.45,105.85,104.35,104.25,1128.0,928.0
2014-05-26,105.8,106.15,105.45,105.65,655.0,1065.0
2014-05-27,106.05,106.9,105.9,106.15,790.0,1043.0
2014-05-28,107.0,107.75,106.7,106.45,1554.0,1097.0
2014-05-29,107.25,107.85,106.5,107.55,2291.0,1386.0
