Date,Open,High,Low,Close,Volume,Open Interest
2014-04-01,124.25,124.25,122.35,124.4,8458.0,2528.0
2014-04-02,122.5,123.7,122.1,122.45,9275.0,2559.0
2014-04-03,123.0,124.3,122.45,123.0,10047.0,2424.0
2014-04-04,124.3,124.75,123.0,124.2,9162.0,2734.0
2014-04-07,123.3,124.25,123.0,123.35,8829.0,2752.0
2014-04-08,123.75,124.7,123.55,124.5,5257.0,2783.0
2014-04-09,124.85,126.25,124.7,124.8,10616.0,2966.0
2014-04-10,125.75,127.35,125.6,125.75,11615.0,2961.0
2014-04-11,127.6,128.8,125.8,127.75,14677.0,3269.0
2014-04-14,126.2,127.55,126.2,125.75,5102.0,2997.0
2014-04-15,127.15,127.3,125.4,127.4,10132.0,2799.0
2014-04-16,126.5,128.65,125.8,126.7,12045.0,2803.0
2014-04-17,128.35,129.1,127.75,128.35,9623.0,2603.0
2014-04-21,128.7,129.7,128.0,128.8,5145.0,2783.0
2014-04-22,129.15,131.1,129.15,129.5,10176.0,2696.0
2014-04-23,131.2,132.25,130.35,131.0,12152.0,2410.0
2014-04-25,131.4,131.65,129.45,130.85,11045.0,2342.0
2014-04-28,132.0,132.0,130.0,132.85,50.0,61.0
2014-04-29,130.05,130.05,128.45,130.1,46.0,82.0
2014-04-30,128.15,128.75,127.7,128.45,84.0,93.0
2014-05-01,127.05,127.1,126.45,128.05,50.0,93.0
2014-05-02,126.4,127.45,126.2,126.9,146.0,117.0
2014-05-05,127.2,128.0,127.15,127.2,122.0,130.0
2014-05-06,127.45,128.4,127.3,127.1,225.0,142.0
2014-05-07,128.1,128.1,125.55,127.25,242.0,147.0
2014-05-08,126.4,126.9,125.35,125.8,301.0,181.0
2014-05-09,126.7,127.1,125.6,126.55,197.0,195.0
2014-05-12,125.75,127.9,125.7,125.7,212.0,223.0
2014-05-13,127.9,128.4,126.7,127.6,222.0,234.0
2014-05-14,127.65,128.95,127.3,126.55,137.0,234.0
2014-05-15,128.3,128.3,126.55,128.65,269.0,242.0
2014-05-16,125.75,126.5,124.6,126.4,204.0,244.0
2014-05-19,125.6,126.5,125.55,125.8,102.0,254.0
2014-05-20,126.4,127.1,125.0,126.05,347.0,287.0
2014-05-21,126.0,126.1,123.7,125.45,419.0,293.0
2014-05-22,125.05,125.25,124.1,124.9,346.0,339.0
2014-05-23,124.9,125.9,124.8,124.7,310.0,366.0
2014-05-26,125.7,126.4,125.45,125.5,356.0,431.0
2014-05-27,126.4,126.8,126.0,126.4,669.0,528.0
2014-05-28,126.5,126.8,125.25,126.15,728.0,613.0
2014-05-29,125.0,125.0,123.45,125.65,2737.0,912.0
2014-05-30,124.15,124.9,123.5,124.5,7090.0,1793.0
2014-06-02,123.9,125.45,123.65,123.75,10333.0,1935.0
2014-06-03,125.15,127.0,124.9,125.55,11325.0,2179.0
2014-06-04,126.05,126.25,124.35,126.4,12086.0,2673.0
2014-06-05,124.4,124.9,123.7,124.5,11102.0,3205.0
2014-06-06,123.8,124.7,122.65,124.0,14377.0,3123.0
2014-06-09,123.6,126.65,123.35,124.0,12595.0,2986.0
2014-06-10,126.1,126.7,125.05,126.45,11559.0,2765.0
2014-06-11,126.45,126.9,124.9,126.15,12564.0,3059.0
2014-06-12,124.85,125.05,122.05,124.7,15474.0,4286.0
2014-06-13,122.6,124.2,122.5,122.0,11731.0,3170.0
2014-06-16,124.25,125.7,124.25,124.05,10384.0,3341.0
2014-06-17,125.75,126.95,125.7,125.65,10448.0,3642.0
2014-06-18,126.55,127.7,126.05,126.95,12231.0,2794.0
2014-06-19,126.05,127.15,125.3,126.35,11796.0,2871.0
2014-06-20,127.5,128.35,126.6,127.4,11867.0,2691.0
2014-06-23,127.6,129.6,127.6,127.2,12022.0,2898.0
2014-06-24,129.15,130.4,128.8,129.5,11737.0,2929.0
2014-06-25,129.7,130.3,128.5,129.8,13279.0,2767.0
2014-06-26,129.2,129.65,128.9,128.75,9173.0,2464.0
2014-06-27,128.95,129.5,127.85,129.15,7742.0,2035.0
2014-06-30,129.8,130.6,129.05,129.45,7222.0,2128.0
2014-07-01,130.1,130.95,129.1,130.05,10724.0,2356.0
2014-07-02,128.85,131.2,128.05,128.8,15403.0,2244.0
2014-07-03,131.2,132.6,130.0,131.35,16131.0,2494.0
2014-07-04,129.5,130.2,129.3,130.15,6989.0,2453.0
2014-07-07,129.55,131.35,129.35,129.8,10012.0,2766.0
2014-07-08,130.35,131.9,130.1,130.75,12822.0,2597.0
2014-07-09,131.5,132.05,129.8,131.7,11935.0,2544.0
2014-07-10,130.0,131.3,129.15,129.95,12406.0,2383.0
2014-07-11,131.4,132.35,130.65,131.65,10585.0,2387.0
2014-07-14,132.0,132.85,131.65,132.1,10001.0,2437.0
2014-07-15,131.8,132.55,131.2,131.95,9307.0,2767.0
2014-07-16,132.25,132.9,131.55,132.15,12374.0,2275.0
2014-07-17,130.8,131.9,130.3,130.75,11362.0,2244.0
2014-07-18,131.65,131.75,130.05,131.7,10419.0,2159.0
2014-07-21,130.8,133.15,130.2,131.15,10484.0,2812.0
2014-07-22,132.95,133.75,132.7,132.7,3774.0,3218.0
2014-07-23,132.8,133.05,130.6,132.8,12536.0,2268.0
2014-07-24,132.0,133.7,131.75,131.35,11800.0,2483.0
2014-07-25,134.05,136.25,134.05,133.85,15254.0,2262.0
2014-07-28,136.3,137.55,135.85,135.95,12535.0,2227.0
2014-07-29,136.35,136.35,135.4,137.4,8391.0,1912.0
2014-07-30,134.45,136.1,132.3,133.95,15546.0,1652.0
2014-07-31,135.55,136.7,134.8,136.95,9184.0,2154.0
2014-08-01,135.2,136.45,134.35,135.3,13833.0,2739.0
2014-08-04,135.75,140.75,135.4,136.25,16735.0,3214.0
2014-08-05,138.15,138.25,136.05,138.75,12837.0,2763.0
2014-08-06,136.6,138.1,135.25,136.6,15284.0,2776.0
2014-08-07,137.5,139.35,136.5,137.5,16602.0,3881.0
2014-08-08,138.75,139.0,136.65,139.25,13107.0,2506.0
2014-08-11,136.55,138.4,136.1,136.95,10692.0,2822.0
2014-08-12,137.5,139.2,137.5,138.1,10156.0,3039.0
2014-08-13,138.2,138.75,135.35,138.45,12798.0,2749.0
2014-08-14,135.25,135.35,133.65,134.7,10739.0,2605.0
2014-08-18,134.25,134.8,133.8,133.75,7798.0,2592.0
2014-08-19,134.25,135.6,134.1,134.2,10612.0,2760.0
2014-08-20,135.5,136.9,135.05,135.35,10573.0,2507.0
2014-08-21,136.3,137.25,135.85,136.75,10734.0,2278.0
2014-08-22,136.05,136.75,135.8,135.9,7228.0,2265.0
2014-08-25,136.25,136.9,135.9,136.15,4612.0,2395.0
2014-08-26,136.0,137.1,135.9,136.95,8600.0,2038.0
2014-08-27,135.6,136.05,134.9,135.7,6446.0,1878.0
2014-08-28,136.3,137.6,135.75,136.6,7077.0,1917.0
2014-08-29,136.6,136.7,135.8,136.3,4259.0,1859.0
2014-09-01,136.05,136.05,134.65,135.85,6056.0,2077.0
2014-09-02,135.25,136.5,135.25,135.0,8387.0,1854.0
2014-09-03,135.65,135.7,133.35,135.55,9240.0,2120.0
2014-09-04,133.65,134.9,133.6,133.4,7961.0,1786.0
2014-09-05,134.6,134.85,132.55,134.6,9002.0,2303.0
2014-09-08,132.75,133.8,132.25,132.95,9622.0,2205.0
