Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
TUPRS.IS,151.2,2023/12/15,17:09 TRT,-0.5,151.6,152.8,149.6,17694777,20230101,99.143,170.0,0.0,,,
SISE.IS,48.48,2023/12/15,17:09 TRT,1.1800003,47.3,48.52,47.24,32914494,20230101,40.552,775.0,0.0,,,
KONTR.IS,215.0,2023/12/15,17:09 TRT,1.199997,213.8,219.4,211.9,3839000,20230101,177.608,13.0,0.0,,,
ISCTR.IS,24.38,2023/12/15,17:09 TRT,0.3599987,24.02,25.22,23.86,259961751,20230101,17.798,194.0,0.0,,,
FORTE.IS,65.1,2023/12/15,17:09 TRT,3.199997,62.9,68.05,62.2,3133263,20230101,12.12,30.0,0.0,,,
EKOS.IS,36.3,2023/12/15,17:09 TRT,1.9399986,35.5,37.78,34.52,5590352,20230101,12.77,18.0,0.0,,,
BINHO.IS,295.0,2023/12/15,17:09 TRT,-15.0,300.0,322.75,286.0,984103,20230101,125.0,4.0,0.0,,,
AGROT.IS,12.85,2023/12/15,17:09 TRT,-0.46000004,13.33,13.64,12.83,47062930,20230101,5.21,75.0,0.0,,,
EREGL.IS,41.9,2023/12/15,17:09 TRT,2.7200012,39.2,41.9,39.04,126967896,20230101,39.023,113.0,0.0,,,
KCHOL.IS,148.0,2023/12/15,17:09 TRT,3.5,144.6,148.2,143.9,20691779,20230101,144.011,36.0,0.0,,,
