Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
AZTEK.IS,142.4,2024/02/09,17:09 TRT,6.099991,138.3,143.5,136.3,1683010,20231124,133.84,103.0,,,,
XU100.IS,9045.97,2024/02/09,17:10 TRT,96.17969,8993.12,9045.97,8943.49,0,,,0.0,,,,
XU100.IS,9045.97,2024/02/09,17:10 TRT,96.17969,8993.12,9045.97,8943.49,0,,3000.0,1.0E-5,,,,
HATSN.IS,83.5,2024/02/09,17:09 TRT,2.25,81.75,87.8,79.5,12569820,,22.6,9.0,,,,
EUPWR.IS,193.7,2024/02/09,17:09 TRT,-2.0,195.9,201.0,193.0,4155047,,173.85,200.0,,,,
TTRAK.IS,836.0,2024/02/09,17:09 TRT,-6.0,842.0,845.0,823.5,573045,,749.74,50.0,,,,
KONTR.IS,263.0,2024/02/09,17:09 TRT,2.25,261.25,267.75,260.75,3962163,,293.8,530.0,,,,
A1CAP.IS,32.14,2024/02/09,17:08 TRT,-0.10000229,32.42,32.76,31.98,1775576,,40.69,2310.0,,,,
PGSUS.IS,802.0,2024/02/09,17:09 TRT,13.0,795.0,805.0,790.5,2348018,20220427,734.23,24.0,,,,
SISE.IS,51.85,2024/02/09,17:09 TRT,-0.3500023,52.45,52.7,51.4,46781825,20220427,53.35,1600.0,,,,
THYAO.IS,294.75,2024/02/09,17:09 TRT,8.0,288.0,294.75,286.25,37075282,20220427,236.47,230.0,,,,
MGROS.IS,443.0,2024/02/09,17:09 TRT,6.0,439.0,443.5,435.75,1239861,20230921,372.87,250.0,,,,
TABGD.IS,142.5,2024/02/09,17:09 TRT,-0.80000305,144.0,145.7,142.1,3897178,20231117,167.99,201.0,,,,
GARAN.IS,64.45,2024/02/09,17:09 TRT,0.1499939,64.4,65.25,63.15,29880133,20231003,51.2,2300.0,,,,
HEKTS.IS,18.25,2024/02/09,17:09 TRT,0.14999962,18.11,18.68,18.08,68557069,20230824,25.76,1500.0,,,,
TKNSA.IS,38.2,2024/02/09,17:09 TRT,-0.7199974,39.2,39.28,37.24,5578129,20231019,31.44,400.0,,,,
