Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
TUPRS.IS,139.3,2024/01/19,17:09 TRT,-0.59999084,140.1,140.2,138.6,16493260,20230109,149.514,31.0,0.0,,,
THYAO.IS,250.25,2024/01/19,17:09 TRT,-0.5,251.5,253.0,249.1,25960443,20230109,227.388,27.0,0.0,,,
SISE.IS,48.0,2024/01/19,17:09 TRT,0.1800003,47.9,48.0,47.62,16686562,20230109,49.948,150.0,0.0,,,
SASA.IS,37.6,2024/01/19,17:09 TRT,1.579998,36.32,38.8,35.86,139798588,20230109,49.1,20.0,0.0,,,
PGSUS.IS,713.0,2024/01/19,17:09 TRT,-0.5,718.0,720.5,706.5,1717429,20230109,725.4,5.0,0.0,,,
PETKM.IS,19.82,2024/01/19,17:09 TRT,-0.34000015,20.22,20.26,19.79,59337807,20230109,20.854,250.0,0.0,,,
KRDMD.IS,25.06,2024/01/19,17:09 TRT,-0.23999977,25.28,25.42,24.9,19914303,20230108,25.045,150.0,0.0,,,
ISCTR.IS,25.44,2024/01/19,17:09 TRT,-0.42000008,26.02,26.14,25.26,160441606,20230109,11.59,193.0,0.0,,,
FROTO.IS,797.0,2024/01/19,17:09 TRT,-1.0,800.0,802.5,793.5,536696,20230109,483.0,5.0,0.0,,,
EREGL.IS,42.16,2024/01/19,17:09 TRT,-0.3600006,42.68,42.96,42.0,55396990,20230109,39.82,116.0,0.0,,,
ALFAS.IS,95.4,2024/01/19,17:09 TRT,1.550003,93.2,96.6,92.2,7357708,20230109,127.0,28.0,0.0,,,
