Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
AKBNK.IS,35.88,2023/12/07,17:09 TRT,-0.61999893,36.36,36.48,34.68,89041192,20231127,33.48,299.0,0.0,,,
THYAO.IS,259.75,2023/12/07,17:09 TRT,8.5,252.25,259.75,248.9,34974072,20231126,257.0,65.5,0.0,,,
PENTA.IS,20.7,2023/12/07,17:09 TRT,0.1800003,20.52,20.7,19.99,2420769,20231127,22.76,894.0,0.0,,,
EKGYO.IS,7.66,2023/12/07,17:09 TRT,0.27999973,7.4,7.66,7.35,342771374,20231126,7.5,3283.0,0.0,,,
TURSG.IS,37.8,2023/12/07,17:08 TRT,-0.65999985,38.5,38.74,36.56,3925842,20231128,38.94,2459.0,0.0,,,
SKBNK.IS,6.92,2023/12/07,17:09 TRT,-0.07999992,7.0,7.03,6.83,48917585,20231128,7.2,13688.0,0.0,,,
AKFGY.IS,4.25,2023/12/07,17:09 TRT,0.07000017,4.19,4.28,4.16,16340641,20231126,4.68,8144.0,0.0,,,
ECZYT.IS,299.0,2023/12/07,17:09 TRT,12.0,287.25,302.5,279.5,1120039,20231126,339.0,324.0,0.0,,,
ENKAI.IS,32.92,2023/12/07,17:09 TRT,0.47999954,32.44,32.92,31.94,23416603,20231127,34.36,2227.0,0.0,,,
CCOLA.IS,428.75,2023/12/07,17:09 TRT,-1.25,430.0,431.0,412.0,264909,20231128,419.0,38.0,0.0,,,
BRSAN.IS,658.0,2023/12/07,17:09 TRT,8.5,652.5,662.5,638.5,1400858,20231127,710.0,77.0,0.0,,,
OTKAR.IS,451.25,2023/12/07,17:09 TRT,-10.0,458.75,460.5,441.75,257948,20231128,436.5,150.0,0.0,,,
ULKER.IS,83.95,2023/12/07,17:09 TRT,2.699997,81.05,83.95,78.95,7513026,20231127,86.7,756.0,0.0,,,
TUPRS.IS,155.0,2023/12/07,17:09 TRT,5.100006,150.0,155.0,149.7,29138505,20231128,157.2,242.0,0.0,,,
