Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
XU100.IS,7628.73,2024/01/05,17:10 TRT,80.89014,7570.05,7628.73,7532.16,0,20231010,7000.0,1.0E-5,,,,
AKBNK.IS,36.78,2024/01/05,17:09 TRT,0.47999954,36.38,36.88,35.86,71031470,20231127,33.48,299.0,0.0,,,
THYAO.IS,239.2,2024/01/05,17:09 TRT,5.899994,233.8,239.2,233.2,31168225,20231126,257.0,65.5,0.0,,,
PENTA.IS,19.63,2024/01/05,17:09 TRT,0.3199997,19.3,20.0,19.15,3347146,20231127,22.76,894.0,0.0,,,
EKGYO.IS,7.64,2024/01/05,17:09 TRT,0.37999964,7.25,7.64,7.23,238688261,20231126,7.5,3283.0,0.0,,,
TURSG.IS,45.16,2024/01/05,17:09 TRT,1.7599983,43.42,45.44,42.4,7806787,20231128,38.94,2459.0,0.0,,,
SKBNK.IS,4.21,2024/01/05,17:09 TRT,0.119999886,4.09,4.22,4.09,113237468,20231128,7.2,13688.0,0.0,,,
AKFGY.IS,1.83,2024/01/05,17:09 TRT,-0.029999971,1.87,1.89,1.81,112359180,20231126,3.0,16288.0,0.0,,,
ECZYT.IS,268.0,2024/01/05,17:09 TRT,8.25,260.5,271.0,254.0,737059,20231126,339.0,324.0,0.0,,,
ENKAI.IS,33.28,2024/01/05,17:09 TRT,-0.020000458,33.3,33.46,32.84,13633972,20231127,34.36,2227.0,0.0,,,
CCOLA.IS,519.0,2024/01/05,17:08 TRT,5.0,514.5,520.0,507.5,459100,20231128,419.0,38.0,0.0,,,
BRSAN.IS,625.5,2024/01/05,17:09 TRT,-9.0,644.0,651.0,612.5,1243994,20231127,710.0,77.0,0.0,,,
OTKAR.IS,440.5,2024/01/05,17:09 TRT,30.5,410.5,444.75,410.5,820119,20231128,436.5,150.0,0.0,,,
ULKER.IS,79.75,2024/01/05,17:09 TRT,-1.550003,81.6,81.7,79.0,4384722,20231127,86.7,756.0,0.0,,,
TUPRS.IS,143.8,2024/01/05,17:09 TRT,0.1000061,144.0,144.3,141.7,10850101,20231128,157.2,242.0,0.0,,,
