,All trades,Short trades,Long trades
Total number of round_trips,88,44,44
Percent profitable,0.4886,0.5,0.4773
Winning round_trips,43,22,21
Losing round_trips,45,22,23
Even round_trips,0,0,0
Total profit,2853.25,1293.08,1560.17
Gross profit,8918.61,4611.14,4307.47
Gross loss,-6065.36,-3318.06,-2747.3
Profit factor,1.4704,1.3897,1.5679
Avg. trade net profit,32.4233,29.3882,35.4584
Avg. winning trade,207.4095,209.5973,205.1176
Avg. losing trade,-134.7858,-150.8209,-119.4478
Ratio Avg. Win:Avg. Loss,1.5388,1.3897,1.7172
Largest winning trade,914.6,563.4,914.6
Largest losing trade,-425,-425,-408.8
Avg duration,1 days 13:05:26,1 days 13:05:26,1 days 13:05:26
Median duration,1 days 00:00:00,1 days 00:00:00,1 days 00:00:00
Longest duration,3 days 00:00:00,3 days 00:00:00,3 days 00:00:00
Shortest duration,1 days 00:00:00,1 days 00:00:00,1 days 00:00:00
Avg returns all round_trips,0.003,0.0031,0.0029
Avg returns winning,0.0192,0.0199,0.0185
Avg returns losing,-0.0125,-0.0138,-0.0113
Median returns all round_trips,-0.0006,-0.0006,-0.0006
Median returns winning,0.0138,0.0174,0.0137
Median returns losing,-0.0083,-0.0122,-0.0073
Largest winning trade,0.0815,0.0522,0.0815
Largest losing trade,-0.038,-0.038,-0.0379
