"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"11.09.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,153598","4.253.325.300,00","6.366","653.300.526,77"
"12.09.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,154016","4.228.814.700,00","6.414","651.303.158,66"
"13.09.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,153792","4.193.575.400,00","6.413","644.938.106,34"
"14.09.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,153767","4.188.070.500,00","6.383","643.986.170,72"
"15.09.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,153714","4.175.179.800,00","6.381","641.783.552,91"
"18.09.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,153663","4.188.036.100,00","6.374","643.547.496,57"
"19.09.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,153511","4.192.656.600,00","6.406","643.620.207,48"
"20.09.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,153705","4.175.147.600,00","6.437","641.740.161,35"
"21.09.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,154975","4.158.121.500,00","6.405","644.404.595,00"
"22.09.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,154601","4.154.078.700,00","6.383","642.224.239,79"
"25.09.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,155447","4.152.762.600,00","6.381","645.533.384,53"
"26.09.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,155920","4.147.809.000,00","6.410","646.726.230,03"
"27.09.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,155956","4.041.868.300,00","6.443","630.352.296,44"
"28.09.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,156241","4.061.229.200,00","6.464","634.531.916,44"
"29.09.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,155391","3.999.068.400,00","6.496","621.418.536,62"
"02.10.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,156343","4.050.161.300,00","6.517","633.214.350,97"
"03.10.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,156051","4.067.333.000,00","6.562","634.712.912,69"
"04.10.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,155164","4.084.458.800,00","6.590","633.759.068,44"
