"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"12.06.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,127185","7.980.140.300,00","5.806","1.014.952.548,96"
"13.06.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,128483","7.958.660.900,00","5.828","1.022.553.576,25"
"14.06.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,128917","7.945.869.900,00","5.831","1.024.361.017,33"
"15.06.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,129018","7.911.894.000,00","5.823","1.020.774.391,25"
"16.06.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,129236","7.886.967.100,00","5.831","1.019.277.152,85"
"19.06.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,129495","7.833.947.300,00","5.831","1.014.456.158,50"
"20.06.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,129218","7.833.947.300,00","5.819","1.012.283.900,84"
"21.06.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,128184","7.810.754.800,00","5.815","1.001.210.632,29"
"22.06.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,128245","7.607.024.800,00","5.797","975.566.409,93"
"23.06.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,127980","7.559.725.600,00","5.598","967.496.910,79"
"26.06.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,137747","7.584.152.500,00","5.570","1.044.694.051,22"
"27.06.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,140975","7.600.795.800,00","5.598","1.071.524.489,90"
"03.07.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,141132","7.621.783.200,00","5.602","1.075.680.612,52"
"04.07.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,142765","7.621.501.100,00","5.602","1.088.080.035,62"
"05.07.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,142643","7.621.501.100,00","5.653","1.087.155.372,01"
"06.07.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,142577","7.618.587.800,00","5.749","1.086.234.451,00"
"07.07.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,142086","7.617.107.100,00","5.739","1.082.282.667,28"
"10.07.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,141376","7.597.280.000,00","5.704","1.074.075.509,66"
"11.07.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,142181","7.586.059.500,00","5.720","1.078.593.126,40"
"12.07.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,143923","7.560.876.400,00","5.723","1.088.181.860,60"
"13.07.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,144724","7.561.143.900,00","5.688","1.094.280.759,47"
"14.07.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,146569","7.543.594.500,00","5.695","1.105.654.066,17"
"17.07.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,146036","7.480.865.100,00","5.723","1.092.472.381,37"
