"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"11.09.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,526297","45.348.228,00","5.004","114.563.080,82"
"12.09.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,517494","46.184.481,00","5.236","116.269.142,31"
"13.09.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,526204","46.785.967,00","5.379","118.190.876,32"
"14.09.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,496235","47.599.762,00","5.465","118.820.189,62"
"15.09.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,496910","48.704.599,00","5.514","121.611.004,50"
"18.09.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,492654","48.917.748,00","5.628","121.935.001,65"
"19.09.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,440265","49.648.906,00","5.724","121.156.493,22"
"20.09.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,455992","50.695.758,00","5.769","124.508.376,18"
"21.09.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,452635","50.852.486,00","5.786","124.722.596,44"
"22.09.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,450856","51.738.366,00","5.807","126.803.261,68"
"25.09.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,472656","51.885.115,00","5.865","128.294.040,67"
"26.09.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,501169","52.076.310,00","5.975","130.251.653,67"
"27.09.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,532371","53.160.106,00","6.067","134.621.098,10"
"28.09.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,547661","53.262.186,00","6.140","135.693.993,54"
"29.09.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,548891","53.348.009,00","6.197","135.978.248,05"
"02.10.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,608824","54.431.936,00","6.496","142.003.335,73"
"03.10.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,635040","55.794.201,00","6.850","147.019.952,01"
"04.10.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,656550","56.786.229,00","7.141","150.855.432,87"
"05.10.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,634778","58.950.663,00","7.295","155.321.883,35"
"06.10.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,631336","60.612.500,00","7.402","159.491.858,81"
"09.10.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,655158","60.816.929,00","7.402","161.478.546,77"
"10.10.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,657090","60.816.929,00","7.471","161.596.027,52"
