"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"12.06.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","1,819326","19.038.033,00","1.716","34.636.380,73"
"13.06.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","1,828657","19.411.804,00","1.840","35.497.536,48"
"14.06.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","1,842451","20.611.399,00","1.921","37.975.490,59"
"15.06.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","1,846176","21.554.532,00","1.985","39.793.469,50"
"16.06.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","1,852524","22.100.170,00","2.037","40.941.093,33"
"19.06.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","1,875383","22.213.680,00","2.037","41.659.151,42"
"20.06.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","1,856692","22.213.680,00","2.104","41.243.951,52"
"21.06.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","1,830972","22.647.777,00","2.181","41.467.449,74"
"22.06.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","1,799667","22.682.702,00","2.199","40.821.318,14"
"23.06.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","1,792714","22.242.935,00","2.138","39.875.228,19"
"26.06.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","1,879985","21.859.510,00","2.119","41.095.552,88"
"27.06.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","1,937849","22.384.303,00","2.112","43.377.392,96"
"03.07.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","1,950545","22.785.899,00","2.110","44.444.922,53"
"04.07.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,030686","22.942.018,00","2.110","46.588.036,45"
"05.07.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,037491","22.942.018,00","2.156","46.744.158,02"
"06.07.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,059872","23.073.089,00","2.241","47.527.608,10"
"07.07.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,042840","24.443.708,00","2.255","49.934.595,26"
"10.07.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,072677","24.863.225,00","2.257","51.533.423,66"
"11.07.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,094938","24.741.111,00","2.295","51.831.099,46"
"12.07.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,128347","25.342.453,00","2.325","53.937.521,62"
"13.07.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,148616","27.126.054,00","2.392","58.283.486,64"
"14.07.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,173548","28.566.484,00","2.481","62.090.629,35"
"17.07.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,186110","29.300.964,00","2.556","64.055.140,75"
"18.07.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,203983","31.948.179,00","2.656","70.413.256,71"
"19.07.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,217525","32.510.296,00","2.746","72.092.410,03"
"20.07.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,273569","33.457.911,00","2.812","76.068.865,12"
"21.07.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,272838","35.106.392,00","2.865","79.791.127,84"
"24.07.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,268217","35.789.349,00","2.945","81.177.995,41"
"25.07.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,281661","39.324.332,00","3.010","89.724.800,44"
"26.07.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,277500","39.747.033,00","3.095","90.523.850,07"
"27.07.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,285880","41.116.124,00","3.118","93.986.523,11"
"28.07.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,310262","41.886.600,00","3.162","96.769.008,45"
"31.07.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,308325","42.846.399,00","3.237","98.903.393,70"
"01.08.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,346543","43.774.049,00","3.326","102.717.699,97"
"02.08.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,349355","44.250.882,00","3.424","103.961.013,24"
"03.08.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,340147","45.647.492,00","3.530","106.821.819,98"
"04.08.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,304584","46.542.939,00","3.572","107.262.092,20"
"07.08.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,321941","46.932.670,00","3.613","108.974.878,68"
"08.08.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,336063","47.370.113,00","3.665","110.659.566,73"
"09.08.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,309909","47.436.047,00","3.688","109.572.973,47"
"10.08.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,301213","48.019.276,00","3.685","110.502.585,05"
"11.08.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,293841","48.616.537,00","3.679","111.518.593,14"
"14.08.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,309247","48.050.577,00","3.641","110.960.640,27"
"15.08.2023","DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","2,322762","47.711.871,00","3.645","110.823.302,78"
