"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"11.09.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","32,973896","15.529.893,00","203","512.081.071,41"
"12.09.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","33,023024","15.553.587,00","209","513.626.475,10"
"13.09.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","33,027748","15.504.412,00","210","512.075.805,19"
"14.09.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","33,078543","15.552.942,00","214","514.468.658,03"
"15.09.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","33,084069","15.695.406,00","221","519.267.888,47"
"18.09.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","33,101191","15.748.776,00","226","521.303.236,19"
"19.09.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","33,131608","15.847.183,00","229","525.042.657,65"
"20.09.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","33,163413","15.885.701,00","234","526.824.058,33"
"21.09.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","33,242399","15.870.360,00","238","527.568.841,67"
"22.09.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","33,253832","16.402.168,00","236","545.434.945,10"
"25.09.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","33,399873","16.411.105,00","241","548.128.825,43"
"26.09.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","33,498602","16.463.058,00","243","551.489.426,22"
"27.09.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","33,533360","16.476.899,00","255","552.525.779,85"
"28.09.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","33,606631","16.522.554,00","261","555.267.370,19"
"29.09.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","33,647529","16.555.134,00","269","557.039.344,43"
"02.10.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","33,720060","16.690.564,00","279","562.806.827,37"
"03.10.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","33,847828","16.974.875,00","284","574.562.645,38"
"04.10.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","33,829047","17.124.834,00","288","579.316.807,61"
"05.10.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","33,848374","17.394.661,00","290","588.780.996,82"
"06.10.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","33,898335","17.455.579,00","294","591.715.060,19"
"09.10.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","33,920201","17.516.663,00","294","594.168.730,58"
"10.10.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","34,070640","17.516.663,00","297","596.803.919,96"
"11.10.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","34,187876","17.681.782,00","303","604.502.579,07"
"12.10.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","34,290571","17.423.179,00","310","597.450.764,92"
"13.10.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","34,496748","17.491.260,00","312","603.391.581,63"
"16.10.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","34,383773","17.557.123,00","314","603.680.131,72"
"17.10.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","34,477272","17.590.342,00","321","606.467.003,56"
"18.10.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","34,478155","17.689.636,00","326","609.906.015,47"
"19.10.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","34,552513","17.745.480,00","338","613.150.932,43"
"20.10.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","34,510893","17.895.626,00","346","617.594.034,49"
"23.10.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","34,551018","17.936.339,00","346","619.718.770,32"
"24.10.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","34,590852","17.902.158,00","349","619.250.902,48"
"25.10.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","34,713010","17.957.401,00","347","623.355.431,72"
"26.10.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","34,749528","17.972.563,00","350","624.538.084,73"
"27.10.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","34,769156","17.980.059,00","353","625.151.468,32"
"30.10.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","34,844296","17.999.905,00","351","627.194.009,16"
"31.10.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","34,962568","18.089.827,00","354","632.466.810,53"
"01.11.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","35,022186","18.131.014,00","359","634.987.738,28"
"02.11.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","35,168624","18.176.020,00","363","639.225.608,44"
"03.11.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","35,371256","18.214.692,00","376","644.276.528,46"
"06.11.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","35,542127","18.284.726,00","382","649.878.060,74"
"07.11.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","35,451902","18.259.725,00","386","647.341.987,53"
"08.11.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","35,553704","18.284.280,00","392","650.073.873,05"
"09.11.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","35,647614","18.295.357,00","397","652.185.819,35"
"10.11.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","35,624605","18.569.741,00","403","661.539.688,12"
"13.11.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","35,588169","18.696.529,00","406","665.375.238,86"
"14.11.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","35,667416","18.801.369,00","408","670.596.249,19"
"15.11.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","35,939215","18.834.012,00","409","676.879.604,72"
"16.11.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","36,099185","19.080.399,00","418","688.786.860,44"
"17.11.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","36,265603","19.279.897,00","431","699.197.092,88"
"20.11.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","36,532825","19.449.224,00","439","710.535.098,15"
"21.11.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","36,554043","19.564.066,00","452","715.145.715,31"
"22.11.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","36,669713","19.868.966,00","460","728.589.277,43"
"23.11.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","36,548525","20.212.598,00","460","738.740.648,56"
"24.11.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","36,565152","20.212.598,00","464","739.076.726,67"
"27.11.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","36,609943","20.354.636,00","482","745.182.070,88"
"28.11.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","36,674447","20.781.740,00","494","762.158.815,19"
"29.11.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","36,642903","20.789.969,00","505","761.804.826,46"
"30.11.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","36,799611","21.247.265,00","512","781.891.076,25"
