"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"12.06.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","27,153318","14.605.944,00","119","396.599.842,47"
"13.06.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","27,437381","14.606.806,00","119","400.772.496,21"
"14.06.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","27,489122","14.589.400,00","119","401.049.793,96"
"15.06.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","27,472368","14.588.481,00","119","400.780.121,07"
"16.06.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","27,537661","16.967.311,00","118","467.240.065,13"
"19.06.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","27,549916","16.953.455,00","118","467.066.254,15"
"20.06.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","27,557283","16.953.455,00","120","467.191.158,50"
"21.06.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","27,449875","19.018.601,00","118","522.058.212,56"
"22.06.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","27,366523","18.986.026,00","118","519.581.515,47"
"23.06.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","27,395995","18.926.166,00","117","518.501.153,28"
"26.06.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","29,344673","18.928.752,00","116","555.458.043,58"
"27.06.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","30,017988","18.893.063,00","116","567.131.731,97"
"03.07.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","30,057733","18.893.063,00","115","567.882.641,65"
"04.07.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","30,437921","18.893.063,00","115","575.065.551,22"
"05.07.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","30,411640","18.893.063,00","115","574.569.033,32"
"06.07.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","30,442313","18.888.241,00","121","575.001.751,24"
"07.07.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","30,417475","18.904.853,00","118","575.037.893,14"
"10.07.2023","DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","30,348326","18.901.074,00","118","573.615.953,99"
