"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"11.12.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,279994","33.520.810,00","365","76.427.242,20"
"08.12.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,255376","30.566.810,00","342","68.939.648,96"
"07.12.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,253021","28.996.247,00","322","65.329.167,78"
"06.12.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,254687","27.926.909,00","298","62.966.426,47"
"05.12.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,226758","26.762.346,00","288","59.593.274,96"
"01.12.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,228362","24.756.323,00","273","55.166.048,78"
"04.12.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,221430","24.814.686,00","281","55.124.094,06"
"30.11.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,235663","24.637.246,00","271","55.080.576,01"
"28.11.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,212794","24.700.789,00","261","54.657.764,96"
"29.11.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,214448","24.629.932,00","266","54.541.699,94"
"27.11.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,203374","24.244.746,00","256","53.420.244,14"
"24.11.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,202140","24.250.824,00","240","53.403.709,13"
"23.11.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,192953","24.250.824,00","236","53.180.906,88"
"22.11.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,182389","24.195.583,00","236","52.804.184,97"
"21.11.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,182562","24.161.224,00","233","52.733.370,38"
"20.11.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,161915","24.032.113,00","228","51.955.378,81"
"11.09.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,989339","26.092.613,00","205","51.907.048,13"
"12.09.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,983192","26.089.330,00","205","51.740.138,19"
"13.09.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,975712","26.138.488,00","206","51.642.123,85"
"15.09.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,987387","25.905.925,00","205","51.485.088,89"
