"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"12.06.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,703296","24.484.465,00","134","41.704.302,87"
"13.06.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,718317","24.517.648,00","134","42.129.098,96"
"14.06.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,742216","24.519.190,00","137","42.717.716,49"
"15.06.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,757860","24.489.780,00","140","43.049.596,24"
"16.06.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,765020","24.469.643,00","142","43.189.409,48"
"19.06.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,792305","23.966.944,00","142","42.956.083,10"
"20.06.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,790438","23.966.944,00","141","42.911.333,35"
"21.06.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,776575","23.967.269,00","144","42.579.658,42"
"22.06.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,774360","23.467.806,00","145","41.640.340,36"
"23.06.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,774843","23.411.939,00","141","41.552.510,96"
"26.06.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,847957","23.364.512,00","139","43.176.616,70"
"27.06.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,911075","23.502.507,00","140","44.915.051,84"
"03.07.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,905530","23.539.606,00","140","44.855.420,04"
"04.07.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,966148","23.539.606,00","140","46.282.345,91"
"05.07.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,982206","23.539.606,00","143","46.660.345,74"
"06.07.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,993452","23.565.446,00","150","46.976.589,23"
"07.07.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,964690","23.721.921,00","153","46.606.231,55"
"10.07.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,979409","23.745.463,00","152","47.001.985,58"
"11.07.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,984147","23.720.600,00","155","47.065.162,67"
"12.07.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","1,997619","23.746.633,00","159","47.436.722,27"
"13.07.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,041112","27.479.057,00","161","56.087.833,82"
"14.07.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,059756","27.570.102,00","169","56.787.685,50"
"17.07.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,108114","27.888.644,00","175","58.792.447,95"
"18.07.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,102521","27.874.247,00","182","58.606.179,90"
"19.07.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,131917","27.903.134,00","192","59.487.163,95"
"20.07.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,160342","28.438.366,00","196","61.436.609,58"
"21.07.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,142612","29.220.520,00","201","62.608.231,58"
"24.07.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,103926","29.614.552,00","203","62.306.828,01"
"25.07.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,090421","29.808.493,00","205","62.312.311,49"
"26.07.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,106979","29.694.853,00","206","62.566.440,76"
"27.07.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,115277","29.633.286,00","204","62.682.621,15"
"28.07.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,152348","29.635.406,00","203","63.785.708,98"
"31.07.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,156408","29.352.868,00","208","63.296.744,95"
"01.08.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,170727","29.354.697,00","210","63.721.019,32"
"02.08.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,142047","29.019.606,00","217","62.161.371,46"
"03.08.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,113942","29.527.412,00","219","62.419.232,56"
"04.08.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,098492","29.682.055,00","215","62.287.568,03"
"07.08.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,092695","29.556.304,00","213","61.852.333,48"
"08.08.2023","FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","2,071012","29.539.942,00","209","61.177.561,97"
