"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"11.09.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,768166","128.934.000,00","5.936","743.712.768,73"
"12.09.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,790002","128.778.200,00","5.945","745.626.004,59"
"13.09.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,798721","128.731.400,00","5.909","746.477.430,87"
"14.09.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,809632","128.749.300,00","5.886","747.985.996,28"
"15.09.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,829938","128.810.900,00","5.873","750.959.606,89"
"18.09.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,914014","128.870.300,00","5.883","762.140.703,19"
"19.09.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,841901","129.375.200,00","5.891","755.797.140,76"
"20.09.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,846001","127.380.900,00","5.863","744.668.844,93"
"21.09.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,883974","127.443.300,00","5.847","749.873.054,13"
"22.09.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,779427","127.517.600,00","5.849","736.978.688,35"
"25.09.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,809275","127.348.900,00","5.850","739.804.816,74"
"26.09.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,720696","127.306.200,00","5.916","728.280.098,48"
"27.09.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,677605","126.902.800,00","5.923","720.503.924,35"
"28.09.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,642139","125.935.800,00","5.907","710.547.303,00"
"29.09.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,609322","125.295.900,00","5.877","702.825.052,23"
"02.10.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,766157","124.357.900,00","5.875","717.067.194,56"
"03.10.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,626545","124.579.900,00","5.900","700.954.415,31"
"04.10.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,458513","125.654.500,00","5.951","685.886.698,00"
"05.10.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,388635","125.807.600,00","5.938","677.931.237,32"
"06.10.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,371774","125.667.700,00","5.907","675.058.472,64"
"09.10.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,328501","126.294.800,00","5.897","672.961.977,68"
"10.10.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,351183","131.699.000,00","5.888","704.745.429,70"
"11.10.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,485172","131.070.200,00","5.863","718.942.628,95"
"12.10.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,527130","131.008.400,00","5.870","724.100.396,21"
"13.10.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,428315","131.285.900,00","5.863","712.661.268,56"
"16.10.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,398464","131.370.300,00","5.845","709.197.787,89"
"17.10.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,429749","131.297.400,00","5.840","712.911.978,15"
"18.10.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,542155","130.366.000,00","5.816","722.508.531,40"
"19.10.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,558580","130.628.100,00","5.805","726.106.748,03"
"20.10.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,503103","130.824.100,00","5.793","719.938.538,12"
"23.10.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,508604","130.578.500,00","5.756","719.305.254,70"
"24.10.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,488588","130.376.500,00","5.726","715.582.870,84"
"25.10.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,567843","129.776.800,00","5.694","722.576.866,73"
"26.10.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,529882","129.227.300,00","5.689","714.611.682,02"
"27.10.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,514976","129.024.400,00","5.674","711.566.426,43"
"30.10.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,581673","128.232.500,00","5.664","715.751.880,71"
"31.10.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,594087","128.567.000,00","5.651","719.214.924,53"
"01.11.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,595428","129.278.800,00","5.645","723.370.189,80"
"02.11.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,548298","129.196.200,00","5.641","716.819.072,18"
