"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"12.06.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","4,920623","117.647.300,00","4.325","578.897.993,79"
"13.06.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","4,944237","119.045.300,00","4.357","588.588.232,40"
"14.06.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","4,965387","119.286.200,00","4.364","592.302.092,05"
"15.06.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","4,989821","118.682.700,00","4.362","592.205.391,78"
"16.06.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,016360","117.225.400,00","4.378","588.044.790,83"
"19.06.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,020068","116.085.100,00","4.372","582.755.146,33"
"20.06.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","4,961051","115.646.400,00","4.377","573.727.654,41"
"21.06.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","4,899135","113.672.400,00","4.310","556.896.412,54"
"22.06.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","4,846794","111.154.100,00","4.229","538.741.034,28"
"23.06.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","4,833920","110.350.800,00","4.208","533.426.958,10"
"26.06.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,072216","110.227.600,00","4.202","559.098.165,59"
"27.06.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,218973","110.809.400,00","4.222","578.311.247,85"
"03.07.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,255228","110.487.600,00","4.212","580.637.488,69"
"04.07.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,411815","110.499.000,00","4.268","598.000.177,83"
"05.07.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,511682","110.628.600,00","4.316","609.749.661,42"
"06.07.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,504939","110.924.500,00","4.377","610.632.585,33"
"07.07.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,323554","111.384.100,00","4.407","592.959.269,70"
"10.07.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,324406","110.095.000,00","4.430","586.190.452,83"
"11.07.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,353516","109.572.100,00","4.433","586.595.947,56"
"12.07.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,480737","108.975.300,00","4.441","597.264.973,40"
"13.07.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,687199","109.188.600,00","4.457","620.977.253,14"
"14.07.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,805269","110.393.100,00","4.495","640.861.596,04"
"17.07.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,815350","110.917.800,00","4.553","645.025.823,82"
"18.07.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","5,820002","111.519.400,00","4.664","649.043.085,35"
"19.07.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","6,013283","111.462.200,00","4.744","670.253.801,98"
"20.07.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","6,098122","112.912.900,00","4.838","688.556.656,17"
"21.07.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","6,088544","109.976.700,00","4.949","669.597.929,52"
"24.07.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","6,030482","105.691.400,00","5.049","637.370.120,85"
"25.07.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","6,009575","113.137.500,00","5.124","679.908.314,88"
"26.07.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","6,038524","113.594.000,00","5.184","685.940.100,02"
"27.07.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","6,028976","114.190.800,00","5.227","688.453.540,05"
"28.07.2023","GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","6,016271","114.002.500,00","5.269","685.869.933,44"
