"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"08.12.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,770135","68.671.696,00","366","190.229.841,90"
"11.12.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,754872","67.958.950,00","376","187.218.224,57"
"07.12.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,765481","67.521.306,00","357","186.728.889,48"
"30.11.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,720526","67.254.851,00","329","182.968.543,09"
"28.11.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,679269","68.097.630,00","321","182.451.865,31"
"04.12.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,708889","67.147.345,00","338","181.894.719,70"
"29.11.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,696181","67.289.431,00","324","181.424.468,03"
"24.11.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,682394","67.593.481,00","314","181.312.368,95"
"01.12.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,705053","66.882.944,00","333","180.921.903,40"
"23.11.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,682470","67.416.493,00","308","180.842.724,26"
"05.12.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,721138","66.413.283,00","341","180.719.682,14"
"06.12.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,744597","65.685.870,00","348","180.281.270,80"
"27.11.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,665441","67.621.053,00","319","180.239.893,99"
"22.11.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,673401","67.346.744,00","302","180.044.881,17"
"21.11.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,659076","65.241.429,00","300","173.481.931,51"
"20.11.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,657536","65.239.326,00","290","173.375.882,90"
"17.11.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,647335","64.928.611,00","286","171.887.765,91"
"15.11.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,644642","64.563.487,00","275","170.747.338,44"
"16.11.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,634290","64.454.161,00","280","169.790.924,34"
"10.11.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,612120","64.143.452,00","265","167.550.397,66"
"13.11.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,599904","64.332.538,00","269","167.258.405,64"
"14.11.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,591445","64.530.072,00","274","167.226.124,86"
"09.11.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,614481","63.791.103,00","259","166.780.657,51"
"08.11.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,596312","63.377.005,00","256","164.546.478,16"
"06.11.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,595940","62.632.179,00","240","162.589.352,99"
"07.11.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,578829","62.741.288,00","249","161.799.044,49"
"03.11.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,557370","62.608.666,00","238","160.113.526,35"
"02.11.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,516196","62.526.382,00","235","157.328.606,58"
"25.10.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,498147","62.774.892,00","227","156.820.907,75"
"01.11.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,503511","62.481.671,00","233","156.423.521,54"
"31.10.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,502489","62.501.601,00","229","156.409.591,44"
"26.10.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,494432","62.678.698,00","228","156.347.748,30"
"30.10.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,497049","62.581.436,00","225","156.268.895,75"
"27.10.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,489114","62.572.197,00","228","155.749.319,69"
"24.10.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,480832","62.772.073,00","225","155.726.969,54"
"23.10.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,482756","62.374.933,00","225","154.861.723,63"
"17.10.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,504096","61.519.461,00","224","154.050.620,81"
"16.10.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,502992","61.525.385,00","223","153.997.532,92"
"13.10.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,503165","61.442.068,00","223","153.799.635,74"
"18.10.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,499246","61.536.141,00","223","153.793.953,29"
"19.10.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,499816","61.494.365,00","224","153.724.568,56"
"12.10.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,505140","61.255.470,00","221","153.453.510,75"
"20.10.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,489036","61.506.204,00","222","153.091.186,13"
"11.10.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,495652","61.176.679,00","219","152.675.725,30"
"10.10.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,479839","61.217.736,00","217","151.810.132,78"
"09.10.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,461603","61.299.085,00","217","150.894.032,04"
"06.10.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,449198","61.313.915,00","217","150.169.945,98"
"02.10.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,436466","61.325.812,00","215","149.418.253,27"
"04.10.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,427958","61.323.613,00","216","148.891.172,10"
"29.09.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,427175","61.310.652,00","215","148.811.682,22"
"28.09.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,420713","61.449.786,00","213","148.752.317,72"
"03.10.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,420025","61.323.194,00","216","148.403.663,93"
"27.09.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,417638","61.364.124,00","215","148.356.258,11"
"05.10.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,420933","61.253.400,00","218","148.290.388,09"
"26.09.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,402963","61.638.162,00","212","148.114.252,73"
"25.09.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,397020","61.682.425,00","209","147.854.020,00"
"12.09.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,393874","61.710.131,00","209","147.726.278,36"
"18.09.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,383311","61.949.285,00","216","147.644.435,56"
"15.09.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,385193","61.862.583,00","214","147.554.217,48"
"13.09.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,390783","61.671.611,00","207","147.443.436,45"
"19.09.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,380571","61.923.849,00","215","147.414.134,18"
"14.09.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,390635","61.637.318,00","212","147.352.337,12"
"11.09.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,386555","61.614.125,00","210","147.045.468,03"
"21.09.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,380013","61.700.377,00","213","146.847.719,10"
"20.09.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,369705","61.713.887,00","214","146.243.692,31"
"22.09.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,370885","61.682.425,00","210","146.241.954,80"
