"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"12.06.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,002005","61.267.566,00","179","122.657.990,63"
"13.06.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,019200","61.316.576,00","181","123.810.450,97"
"14.06.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,012275","61.285.755,00","178","123.323.810,96"
"15.06.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,009851","61.287.989,00","178","123.179.734,42"
"16.06.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,027426","61.208.106,00","180","124.094.899,40"
"19.06.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,018455","61.184.826,00","181","123.498.805,53"
"20.06.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,006792","61.140.939,00","182","122.697.163,12"
"21.06.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","1,996332","61.454.888,00","185","122.684.380,57"
"22.06.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","1,988907","61.473.478,00","185","122.265.040,45"
"23.06.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","1,997202","61.507.748,00","186","122.843.412,12"
"26.06.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,107346","61.508.179,00","184","129.619.002,38"
"27.06.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,153626","61.548.592,00","185","132.552.674,28"
"03.07.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,154455","61.554.674,00","185","132.616.754,06"
"04.07.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,181836","61.554.674,00","186","134.302.210,86"
"05.07.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,179198","61.601.216,00","187","134.241.239,42"
"06.07.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,177769","61.647.244,00","191","134.253.442,39"
"07.07.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,163009","61.766.901,00","191","133.602.350,78"
"10.07.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,164067","61.763.751,00","191","133.660.890,74"
"11.07.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,168060","61.700.265,00","193","133.769.877,64"
"12.07.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,177011","61.730.249,00","194","134.387.443,43"
"13.07.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,193250","61.617.216,00","195","135.141.984,16"
"14.07.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,200482","61.536.607,00","194","135.410.223,59"
"17.07.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,205699","61.609.453,00","195","135.891.891,06"
"18.07.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,212016","61.599.997,00","197","136.260.167,34"
"19.07.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,234450","61.087.969,00","197","136.498.006,61"
"20.07.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,263153","61.092.362,00","194","138.261.366,44"
"21.07.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,267766","61.045.465,00","197","138.436.823,13"
"24.07.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,261808","61.412.488,00","200","138.903.286,00"
"25.07.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,258963","61.432.676,00","203","138.774.129,20"
