"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"11.09.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,198690","65.826.495,00","8.830","276.385.058,81"
"12.09.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,170516","65.867.350,00","8.928","274.700.808,25"
"13.09.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,172364","66.178.260,00","8.983","276.119.799,45"
"14.09.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,134636","66.251.951,00","9.007","273.927.721,77"
"15.09.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,140503","66.443.871,00","9.047","275.111.029,70"
"18.09.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,128675","63.799.123,00","9.104","263.405.856,23"
"19.09.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,050339","64.065.555,00","9.148","259.487.209,78"
"20.09.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,067574","64.283.820,00","9.168","261.479.209,98"
"21.09.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,078730","64.282.132,00","9.153","262.189.444,16"
"22.09.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,112314","64.108.996,00","9.151","263.636.293,05"
"25.09.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,167511","64.225.585,00","9.180","267.660.851,01"
"26.09.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,215804","64.210.614,00","9.249","270.699.392,61"
"27.09.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,178817","64.350.319,00","9.307","268.908.211,64"
"28.09.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,247422","64.480.159,00","9.365","273.874.430,18"
"29.09.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,259823","64.434.329,00","9.384","274.478.827,76"
"02.10.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,363944","64.462.056,00","9.438","281.308.788,79"
"03.10.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,419694","65.012.804,00","9.545","287.336.691,65"
"04.10.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,462726","65.128.128,00","9.627","290.649.014,27"
"05.10.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,446995","62.910.272,00","9.654","279.761.646,42"
"06.10.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,450923","62.802.224,00","9.695","279.527.836,57"
"09.10.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,434839","62.973.553,00","9.695","279.277.554,79"
"10.10.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,399489","62.973.553,00","9.720","277.051.434,39"
"11.10.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,603016","62.796.618,00","9.853","289.053.846,86"
"12.10.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,601597","62.995.432,00","9.951","289.879.581,21"
"13.10.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,565489","63.217.256,00","9.971","288.617.718,44"
"16.10.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,507561","63.884.283,00","10.037","287.962.285,42"
"17.10.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,484121","64.160.758,00","10.128","287.704.593,07"
"18.10.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,534871","63.921.636,00","10.230","289.876.374,25"
"19.10.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,514219","64.267.720,00","10.335","290.118.578,72"
"20.10.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,494770","64.753.596,00","10.491","291.052.530,42"
"23.10.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,353341","65.219.233,00","10.659","283.921.528,53"
"24.10.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,312586","65.429.334,00","10.742","282.169.617,25"
"25.10.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,425777","65.049.694,00","10.766","287.895.437,22"
"26.10.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,310120","65.033.314,00","10.741","280.301.412,56"
"27.10.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,277119","65.497.430,00","10.739","280.140.330,26"
"30.10.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,284958","65.582.738,00","10.704","281.019.283,54"
"31.10.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,306293","65.246.955,00","10.687","280.972.473,16"
"01.11.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,300175","65.234.215,00","10.675","280.518.529,21"
"02.11.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,316060","65.263.083,00","10.639","281.679.410,21"
"03.11.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","4,379202","75.444.384,00","10.634","330.386.190,46"
