"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"12.06.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","2,934821","66.569.750,00","7.103","195.370.297,79"
"13.06.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","2,961831","66.817.604,00","7.216","197.902.446,88"
"14.06.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","2,984267","66.896.093,00","7.280","199.635.791,30"
"15.06.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","2,977283","66.968.939,00","7.298","199.385.513,19"
"16.06.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","2,996051","66.897.889,00","7.339","200.429.460,32"
"19.06.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","3,065956","66.691.369,00","7.339","204.472.830,40"
"20.06.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","3,002384","66.691.369,00","7.364","200.233.117,57"
"21.06.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","2,975373","66.112.027,00","7.441","196.707.914,98"
"22.06.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","2,936228","65.321.758,00","7.417","191.799.587,55"
"23.06.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","2,918195","65.129.986,00","7.250","190.062.003,23"
"26.06.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","3,085783","65.073.781,00","7.219","200.803.590,21"
"27.06.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","3,149269","65.271.464,00","7.219","205.557.365,65"
"03.07.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","3,155880","65.076.450,00","7.183","205.373.449,29"
"04.07.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","3,277753","65.146.728,00","7.183","213.534.894,04"
"05.07.2023","IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","3,278991","65.146.728,00","7.185","213.615.503,16"
