"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"06.12.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,486450","17.791.261,00","1.576","44.237.072,02"
"11.12.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,478279","17.698.036,00","1.736","43.860.665,24"
"08.12.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,478107","17.590.164,00","1.685","43.590.309,63"
"05.12.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,473282","16.620.831,00","1.491","41.108.007,28"
"07.12.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,483035","16.429.799,00","1.641","40.795.768,07"
"04.12.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,468136","15.853.097,00","1.416","39.127.592,69"
"01.12.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,458217","15.523.125,00","1.379","38.159.209,70"
"28.11.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,480382","15.021.414,00","1.240","37.258.851,36"
"13.10.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,230905","16.343.628,00","999","36.461.073,57"
"12.10.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,236106","16.295.092,00","1.001","36.437.553,27"
"29.11.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,490959","14.578.489,00","1.293","36.314.423,11"
"16.10.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,204554","16.375.897,00","1.011","36.101.545,35"
"03.10.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,161333","16.440.276,00","1.009","35.532.903,29"
"02.10.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,151674","16.470.278,00","1.006","35.438.665,96"
"13.11.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,263670","15.630.363,00","960","35.381.983,86"
"30.11.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,478190","14.224.407,00","1.347","35.250.787,72"
"10.11.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,250237","15.619.028,00","955","35.146.522,19"
"11.10.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,234465","15.543.119,00","1.001","34.730.556,89"
"17.10.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,164837","15.899.758,00","1.018","34.420.390,57"
"18.10.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,172329","15.832.504,00","1.007","34.393.404,02"
"24.11.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,419686","14.176.009,00","1.140","34.301.488,56"
"27.11.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,438120","14.023.620,00","1.187","34.191.268,48"
"10.10.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,187525","15.549.757,00","1.000","34.015.476,16"
"09.10.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,187955","15.543.844,00","1.005","34.009.233,20"
"06.10.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,176596","15.531.259,00","1.003","33.805.269,43"
"05.10.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,165711","15.510.649,00","1.006","33.591.590,58"
"15.11.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,291546","14.645.878,00","970","33.561.709,80"
"19.10.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,159713","15.283.928,00","999","33.008.895,42"
"20.10.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,156589","15.304.494,00","994","33.005.508,36"
"23.11.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,405445","13.709.206,00","1.102","32.976.739,06"
"14.11.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,269236","14.525.257,00","963","32.961.229,62"
"07.11.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,221254","14.720.069,00","964","32.697.010,67"
"29.09.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,119490","15.408.123,00","1.010","32.657.369,32"
"20.11.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","2,328313","13.937.323,00","1.004","32.450.446,55"
