"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"12.06.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","1,683201","17.556.317,00","436","29.550.812,16"
"13.06.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","1,698827","16.623.224,00","484","28.239.975,27"
"14.06.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","1,715152","17.468.213,00","538","29.960.642,19"
"15.06.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","1,716796","15.820.386,00","559","27.160.376,90"
"16.06.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","1,728457","15.791.083,00","591","27.294.210,09"
"19.06.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","1,744609","15.943.418,00","652","27.815.035,92"
"20.06.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","1,734558","17.067.119,00","700","29.603.899,87"
"21.06.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","1,716586","17.363.325,00","724","29.805.648,99"
"22.06.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","1,698461","16.192.023,00","731","27.501.526,04"
"23.06.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","1,703598","15.908.355,00","741","27.101.441,95"
"26.06.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","1,783508","15.691.173,00","756","27.985.329,89"
"27.06.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","1,839273","16.027.058,00","781","29.478.138,23"
"03.07.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","1,838348","16.255.584,00","803","29.883.416,07"
"04.07.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","1,877558","16.325.206,00","850","30.651.514,83"
"05.07.2023","IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","1,884188","16.757.868,00","891","31.574.971,25"
