"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"11.09.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,361021","58.010.769,00","7.363","78.953.864,52"
"08.09.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,346845","58.060.627,00","7.377","78.198.655,59"
"07.09.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,372210","58.191.562,00","7.443","79.851.055,99"
"06.09.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,364113","58.623.645,00","7.442","79.969.272,75"
"05.09.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,377020","57.814.662,00","7.391","79.611.924,21"
"04.09.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,379367","57.814.662,00","7.447","79.747.635,26"
"01.09.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,410129","53.694.222,00","7.447","75.715.766,11"
"31.08.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,345577","54.188.161,00","7.431","72.914.328,83"
"29.08.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,322285","53.380.562,00","7.400","70.584.317,91"
"28.08.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,310106","53.380.562,00","7.401","69.934.217,41"
"25.08.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,362006","53.208.958,00","7.401","72.470.939,92"
"24.08.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,351389","53.165.996,00","7.392","71.847.951,13"
"23.08.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,352434","53.012.173,00","7.420","71.695.462,13"
"22.08.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,349395","53.014.494,00","7.459","71.537.470,14"
"21.08.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,336751","53.702.780,00","7.496","71.787.243,63"
"18.08.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,382976","53.985.376,00","7.492","74.660.484,71"
"17.08.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,404213","54.230.486,00","7.528","76.151.172,13"
"16.08.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,438219","54.846.752,00","7.600","78.881.635,38"
"15.08.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,430390","59.936.424,00","7.590","85.732.431,65"
"14.08.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,441139","66.976.503,00","7.574","96.522.465,93"
"11.08.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,473782","66.895.514,00","7.616","98.589.413,51"
"10.08.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,486933","66.820.582,00","7.665","99.357.753,84"
"09.08.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,476005","68.858.760,00","7.746","101.635.859,85"
"08.08.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,485711","64.462.991,00","7.768","95.773.357,62"
"07.08.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,504931","65.832.595,00","7.783","99.073.541,38"
"04.08.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,502093","67.622.831,00","7.791","101.575.811,03"
"03.08.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,537463","73.365.053,00","7.796","112.796.021,70"
"02.08.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,532237","74.413.807,00","7.769","114.019.591,31"
"01.08.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,554607","93.859.284,00","7.670","145.914.304,85"
"31.07.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,536068","93.347.317,00","7.524","143.387.795,43"
"28.07.2023","IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","1,551349","93.402.513,00","7.416","144.899.881,47"
