"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"11.09.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,596665","25.588.709,00","9.439","347.921.098,87"
"12.09.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,649933","25.506.393,00","9.465","348.160.551,90"
"13.09.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,654708","25.400.660,00","9.459","346.838.584,09"
"14.09.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,539616","25.387.754,00","9.471","343.740.431,42"
"15.09.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,583552","25.330.597,00","9.405","344.079.483,11"
"18.09.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,574317","25.284.803,00","9.407","343.223.937,60"
"19.09.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,424987","25.325.599,00","9.432","339.995.844,12"
"20.09.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,398241","25.277.619,00","9.428","338.675.629,92"
"21.09.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,401842","25.269.553,00","9.406","338.658.556,60"
"22.09.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,081834","25.277.761,00","9.360","330.679.464,72"
"25.09.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,056348","25.260.082,00","9.338","329.804.430,84"
"26.09.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,039712","25.240.307,00","9.362","329.126.334,58"
"27.09.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,004065","25.412.526,00","9.387","330.466.147,99"
"28.09.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","12,963018","25.350.176,00","9.371","328.614.796,01"
"29.09.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,021592","25.229.556,00","9.304","328.528.987,76"
"02.10.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,310984","25.181.624,00","9.265","335.192.186,86"
"03.10.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,244918","25.201.418,00","9.266","333.790.720,63"
"04.10.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,225388","25.211.376,00","9.255","333.430.230,87"
"05.10.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,094515","25.190.105,00","9.252","329.852.209,15"
"06.10.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,177995","25.147.205,00","9.202","331.389.738,20"
"09.10.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,166627","25.103.146,00","9.202","330.523.755,43"
"10.10.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,399716","25.103.146,00","9.173","336.375.021,21"
"11.10.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,607575","25.062.390,00","9.223","341.038.344,87"
"12.10.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,727499","25.271.956,00","9.213","346.920.748,47"
"13.10.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,770087","25.237.362,00","9.221","347.520.677,85"
"16.10.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,640356","25.168.576,00","9.132","343.308.324,07"
"17.10.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,566997","25.090.874,00","9.129","340.407.821,01"
