"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"12.06.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","11,308942","25.541.603,00","7.948","288.848.516,28"
"13.06.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","11,509042","25.953.089,00","8.087","298.695.185,44"
"14.06.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","11,718026","26.196.878,00","8.183","306.975.686,27"
"15.06.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","11,768600","26.465.371,00","8.245","311.460.370,32"
"16.06.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","11,862724","26.432.494,00","8.351","313.561.368,66"
"19.06.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","11,859969","26.395.961,00","8.351","313.055.269,51"
"20.06.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","11,804687","26.395.961,00","8.477","311.596.062,84"
"21.06.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","11,673466","26.543.216,00","8.602","309.851.323,75"
"22.06.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","11,509873","26.094.712,00","8.600","300.346.823,32"
"23.06.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","11,592279","25.823.896,00","8.576","299.357.799,10"
"26.06.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","12,318741","25.512.301,00","8.248","314.279.428,97"
"27.06.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","12,599498","25.591.586,00","8.216","322.441.127,62"
"03.07.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","12,603932","25.956.927,00","8.147","327.159.341,41"
"04.07.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,031555","26.012.732,00","8.147","338.986.345,80"
"05.07.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,000055","26.012.732,00","8.234","338.166.957,23"
"06.07.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","13,007117","26.161.855,00","8.388","340.290.320,85"
"07.07.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","12,872794","25.734.976,00","8.469","331.281.056,30"
"10.07.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","12,921729","25.773.223,00","8.455","333.034.607,37"
"11.07.2023","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","12,844842","25.537.482,00","8.470","328.024.920,53"
