"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"11.09.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","500,289940","11.887.007,00","29.361","5.946.950.020,64"
"12.09.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","503,538853","11.865.855,00","29.362","5.974.919.016,74"
"13.09.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","503,138563","11.848.795,00","29.413","5.961.585.690,97"
"14.09.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","501,101338","11.787.355,00","29.330","5.906.659.365,41"
"15.09.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","504,351539","11.782.363,00","29.301","5.942.452.914,45"
"18.09.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","502,614234","11.777.569,00","29.319","5.919.573.826,58"
"19.09.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","493,957713","11.776.698,00","29.436","5.817.190.812,76"
"20.09.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","494,121508","11.814.547,00","29.494","5.837.821.774,64"
"21.09.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","495,013747","11.807.311,00","29.445","5.844.781.265,42"
"22.09.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","481,050551","11.793.543,00","29.413","5.673.290.362,06"
"25.09.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","482,366600","11.765.184,00","29.437","5.675.131.800,65"
"26.09.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","480,268754","11.770.815,00","29.516","5.653.154.649,94"
"27.09.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","480,762859","11.702.106,00","29.493","5.625.937.942,63"
"28.09.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","480,858096","11.609.541,00","29.393","5.582.541.776,35"
"29.09.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","479,540966","11.596.997,00","29.222","5.561.235.145,61"
"02.10.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","494,002607","11.595.433,00","29.157","5.728.174.132,39"
"03.10.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","491,995884","11.589.742,00","29.171","5.702.105.357,19"
"04.10.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","491,186714","11.568.464,00","29.202","5.682.275.814,63"
