"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"12.06.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","415,776964","13.415.911,00","27.341","5.578.026.750,89"
"13.06.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","427,998587","13.315.096,00","27.553","5.698.842.278,68"
"14.06.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","434,082958","13.323.875,00","27.788","5.783.667.076,96"
"15.06.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","437,504116","13.316.022,00","27.918","5.825.814.431,95"
"16.06.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","442,928604","13.100.865,00","28.134","5.802.747.839,77"
"19.06.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","438,812938","12.968.216,00","28.134","5.690.620.960,72"
"20.06.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","438,738669","12.881.342,00","28.326","5.651.542.848,81"
"21.06.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","432,963380","12.935.116,00","28.541","5.600.431.544,84"
"22.06.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","423,439696","12.724.700,00","28.431","5.388.143.103,22"
"23.06.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","428,422838","12.660.640,00","27.463","5.424.107.319,93"
"26.06.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","451,610178","12.638.022,00","27.270","5.707.459.366,19"
"27.06.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","458,673982","12.672.708,00","27.170","5.812.641.435,53"
"03.07.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","473,366722","12.693.362,00","27.157","6.008.615.167,44"
"04.07.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","479,905886","12.695.257,00","27.157","6.092.528.557,06"
"05.07.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","479,221564","12.640.715,00","27.339","6.057.703.207,46"
"06.07.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","477,209596","12.692.530,00","27.816","6.056.997.112,25"
"07.07.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","469,926095","12.661.841,00","27.817","5.950.129.501,18"
"10.07.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","471,381002","12.658.022,00","27.729","5.966.751.097,40"
"11.07.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","473,095672","12.656.649,00","27.777","5.987.805.857,99"
"12.07.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","478,418720","12.630.903,00","27.714","6.042.860.443,01"
"13.07.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","486,673745","12.614.954,00","27.628","6.139.366.902,09"
"14.07.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","492,472769","12.618.122,00","27.704","6.214.081.478,66"
"17.07.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","498,606455","12.601.899,00","27.813","6.283.388.186,97"
"18.07.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","496,447665","12.605.319,00","28.036","6.257.881.179,26"
"19.07.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","510,938018","12.569.585,00","28.211","6.422.278.844,37"
"20.07.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","520,615312","12.594.676,00","28.280","6.556.981.179,81"
"21.07.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","511,247340","12.592.555,00","28.402","6.437.910.248,75"
"24.07.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","506,648254","12.631.521,00","28.533","6.399.738.063,17"
"25.07.2023","YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","504,833299","12.617.043,00","28.675","6.369.503.436,23"
