"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"11.09.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,224817","47.175.263,00","4.819","57.781.075,87"
"12.09.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,225214","46.924.739,00","4.819","57.492.851,74"
"13.09.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,225964","46.645.449,00","4.822","57.185.647,66"
"14.09.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,221852","46.637.332,00","4.813","56.983.902,95"
"15.09.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,225509","46.947.978,00","4.811","57.535.191,96"
"18.09.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,222666","47.046.583,00","4.814","57.522.258,46"
"19.09.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,207679","46.769.818,00","4.816","56.482.936,92"
"20.09.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,209911","46.517.697,00","4.820","56.282.272,29"
"21.09.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,205785","46.524.842,00","4.804","56.098.972,29"
"22.09.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,187979","46.335.547,00","4.811","55.045.663,37"
"25.09.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,188594","46.364.598,00","4.795","55.108.685,79"
"26.09.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,190064","45.923.695,00","4.801","54.652.116,16"
"27.09.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,192562","45.658.634,00","4.807","54.450.748,54"
"28.09.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,194586","45.467.056,00","4.792","54.314.316,97"
"29.09.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,183910","45.415.881,00","4.772","53.768.327,91"
"02.10.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,212345","45.517.312,00","4.766","55.182.708,18"
"03.10.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,213090","45.489.244,00","4.790","55.182.557,18"
"04.10.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,204274","45.480.467,00","4.790","54.770.929,96"
"05.10.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,195810","45.339.581,00","4.778","54.217.525,16"
"06.10.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,202809","45.147.484,00","4.766","54.303.784,38"
"09.10.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,197866","44.798.911,00","4.766","53.663.084,03"
"10.10.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,204660","44.639.236,00","4.752","53.775.115,99"
"11.10.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,222006","44.727.052,00","4.777","54.656.712,50"
"12.10.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,230600","43.955.670,00","4.779","54.091.838,72"
"13.10.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,220915","44.006.214,00","4.726","53.727.855,43"
"16.10.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,203534","43.925.875,00","4.719","52.866.283,09"
"17.10.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,194930","43.492.571,00","4.713","51.970.583,14"
"18.10.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,203337","43.018.228,00","4.710","51.765.446,68"
"19.10.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,205465","42.986.291,00","4.689","51.818.451,12"
"20.10.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,190492","42.946.625,00","4.677","51.127.624,63"
"23.10.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,172080","42.873.010,00","4.677","50.250.609,14"
"24.10.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,159618","42.237.766,00","4.668","48.979.694,63"
"25.10.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,190250","42.165.421,00","4.658","50.187.386,14"
"26.10.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,163985","42.224.848,00","4.667","49.149.079,32"
"27.10.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,163900","42.283.511,00","4.674","49.213.799,48"
"30.10.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,157189","42.209.201,00","4.670","48.844.010,77"
"31.10.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,161096","42.163.386,00","4.672","48.955.735,17"
"01.11.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,160213","42.219.145,00","4.684","48.983.187,65"
"02.11.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,170814","42.327.584,00","4.678","49.557.739,01"
"03.11.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,200477","42.294.152,00","4.690","50.773.155,04"
"06.11.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,231658","42.210.321,00","4.709","51.988.684,61"
"07.11.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,240850","42.413.954,00","4.746","52.629.357,05"
"08.11.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,233104","42.612.028,00","4.794","52.545.045,93"
"09.11.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,235892","43.050.983,00","4.811","53.206.362,64"
"10.11.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,251638","43.269.639,00","4.811","54.157.934,08"
"13.11.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,242467","43.135.091,00","4.840","53.593.936,76"
"14.11.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,239902","43.326.799,00","4.929","53.720.975,57"
"15.11.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,262884","44.132.685,00","4.950","55.734.471,91"
"16.11.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,278911","44.408.480,00","4.960","56.794.500,42"
"17.11.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,281190","45.261.599,00","5.059","57.988.698,99"
"20.11.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,286581","46.099.284,00","5.118","59.310.464,65"
"21.11.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,297042","46.080.704,00","5.200","59.768.626,20"
"22.11.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,310919","46.533.168,00","5.285","61.001.197,31"
"23.11.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,315579","47.362.519,00","5.285","62.309.145,87"
"24.11.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,318580","47.217.557,00","5.331","62.260.113,20"
"27.11.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,324905","48.560.329,00","5.401","64.337.833,35"
"28.11.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,342898","48.828.509,00","5.471","65.571.723,58"
"29.11.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,345292","49.708.945,00","5.508","66.873.033,07"
