"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"12.06.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,004575","48.064.754,00","4.249","48.284.672,91"
"13.06.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,020058","48.149.470,00","4.263","49.115.230,33"
"14.06.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,025266","47.984.602,00","4.256","49.196.973,78"
"15.06.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,021125","48.107.519,00","4.266","49.123.813,44"
"16.06.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,030538","47.580.087,00","4.262","49.033.077,43"
"19.06.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,026269","46.896.459,00","4.262","48.128.365,93"
"20.06.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,020466","46.298.400,00","4.270","47.245.934,11"
"21.06.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,014207","46.470.086,00","4.289","47.130.293,52"
"22.06.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,005144","44.548.264,00","4.269","44.777.438,77"
"23.06.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,002621","44.529.416,00","4.183","44.646.118,46"
"26.06.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,048984","44.608.256,00","4.172","46.793.342,08"
"27.06.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,070691","44.514.179,00","4.172","47.660.919,09"
"03.07.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,095988","44.478.762,00","4.184","48.748.186,46"
"04.07.2023","YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","1,113017","44.641.747,00","4.184","49.687.023,96"
