"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"11.12.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","2,129953","131.786.571,00","14.181","280.699.182,70"
"08.12.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","2,114882","122.038.290,00","13.717","258.096.581,20"
"07.12.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","2,120403","113.360.354,00","13.270","240.369.683,17"
"06.12.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","2,111146","104.336.331,00","12.734","220.269.240,08"
"05.12.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","2,112896","96.923.537,00","12.203","204.789.395,90"
"04.12.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","2,045381","88.732.189,00","11.487","181.491.145,47"
"01.12.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","2,036193","79.002.503,00","11.109","160.864.322,95"
"29.11.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","2,001950","77.255.319,00","10.745","154.661.295,56"
"30.11.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","2,041780","74.575.563,00","10.859","152.266.908,84"
"28.11.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,982093","72.138.355,00","10.549","142.984.943,12"
"27.11.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,941184","70.856.219,00","10.294","137.544.949,93"
"23.11.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,914988","69.520.925,00","9.793","133.131.746,96"
"24.11.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,913378","69.520.925,00","10.011","133.019.814,87"
"22.11.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,911027","66.561.320,00","9.793","127.200.450,24"
"21.11.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,889393","64.100.295,00","9.505","121.110.679,15"
"20.11.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,868167","61.771.619,00","9.181","115.399.685,36"
"17.11.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,864388","59.378.603,00","8.927","110.704.778,35"
"16.11.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,850013","57.058.821,00","8.604","105.559.547,92"
"15.11.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,834113","57.177.552,00","8.435","104.870.081,33"
"14.11.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,783364","56.951.965,00","8.383","101.566.110,75"
"13.09.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,710918","58.794.253,00","8.616","100.592.133,36"
"13.11.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,771092","56.542.338,00","8.303","100.141.689,30"
"10.11.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,766958","56.609.068,00","8.281","100.025.850,95"
"11.09.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,694555","58.951.865,00","8.625","99.897.203,19"
"18.09.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,690899","58.969.123,00","8.532","99.710.814,77"
"12.09.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,693277","58.797.151,00","8.633","99.559.889,79"
"19.09.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,684678","59.066.812,00","8.540","99.508.559,73"
"15.09.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,686103","58.968.200,00","8.552","99.426.479,37"
"14.09.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,689082","58.665.717,00","8.571","99.091.193,33"
"21.09.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,681659","58.737.748,00","8.508","98.776.875,11"
"20.09.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,674648","58.848.264,00","8.527","98.550.119,63"
"11.10.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,714836","56.910.445,00","8.247","97.592.079,72"
"09.11.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,725599","56.297.934,00","8.289","97.147.638,12"
"02.10.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,684700","57.580.168,00","8.397","97.005.320,61"
"25.09.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,651533","58.733.657,00","8.495","97.000.557,72"
"07.11.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,743779","55.593.704,00","8.242","96.943.159,50"
"08.11.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,718742","56.327.526,00","8.270","96.812.485,42"
"26.09.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,653173","58.532.786,00","8.525","96.764.837,20"
"03.10.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,679040","57.493.061,00","8.400","96.533.137,34"
