"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"12.06.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,316872","57.733.104,00","6.887","76.027.099,22"
"13.06.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,340788","57.283.009,00","6.894","76.804.352,42"
"14.06.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,351599","56.777.635,00","6.885","76.740.581,19"
"15.06.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,345752","56.096.077,00","6.872","75.491.415,90"
"16.06.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,364508","58.187.170,00","6.844","79.396.846,41"
"19.06.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,360259","57.278.481,00","6.844","77.913.558,12"
"20.06.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,357836","57.278.481,00","6.862","77.774.775,51"
"21.06.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,370072","56.746.886,00","6.865","77.747.341,85"
"22.06.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,358918","53.895.822,00","6.824","73.239.977,26"
"23.06.2023","ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","1,362088","53.408.000,00","6.674","72.746.383,84"
