Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-08-22 00:00:00+03:00,16.86,16.92,16.12,16.31,157443633,0.0,0.0
2023-08-23 00:00:00+03:00,16.34,17.22,16.14,16.79,260075035,0.0,0.0
2023-08-24 00:00:00+03:00,17.08,18.44,16.98,18.0,844738272,0.0,0.0
2023-08-25 00:00:00+03:00,18.1,19.0,17.51,18.68,387656387,0.0,0.0
2023-08-28 00:00:00+03:00,19.7,20.54,19.6,20.42,539311106,0.0,0.0
2023-08-29 00:00:00+03:00,20.24,22.42,20.08,22.16,694004580,0.0,0.0
2023-08-31 00:00:00+03:00,22.48,23.36,21.06,21.06,362604946,0.0,0.0
2023-09-01 00:00:00+03:00,21.22,22.02,21.02,21.36,313006316,0.0,0.0
2023-09-04 00:00:00+03:00,21.66,22.92,21.16,22.36,381777647,0.0,0.0
2023-09-05 00:00:00+03:00,22.34,23.88,22.2,23.58,381477028,0.0,0.0
2023-09-06 00:00:00+03:00,24.02,25.08,23.46,24.56,332147528,0.0,0.0
2023-09-07 00:00:00+03:00,24.72,25.3,23.88,24.56,317188366,0.0,0.0
2023-09-08 00:00:00+03:00,24.6,25.0,24.26,24.7,220448093,0.0,0.0
2023-09-11 00:00:00+03:00,24.8,24.82,22.76,22.8,249675119,0.0,0.0
2023-09-12 00:00:00+03:00,22.88,23.18,22.12,22.22,246227497,0.0,0.0
2023-09-13 00:00:00+03:00,22.26,22.64,21.42,21.54,211702647,0.0,0.0
2023-09-14 00:00:00+03:00,21.44,22.08,20.72,21.62,286098016,0.0,0.0
2023-09-15 00:00:00+03:00,21.7,22.44,21.34,21.58,230581325,0.0,0.0
2023-09-18 00:00:00+03:00,21.52,22.32,21.28,21.82,217545384,0.0,0.0
2023-09-19 00:00:00+03:00,21.96,22.32,21.64,22.02,159467704,0.0,0.0
2023-09-20 00:00:00+03:00,22.2,23.04,22.0,22.5,245772301,0.0,0.0
2023-09-21 00:00:00+03:00,22.54,23.26,22.1,23.14,302561603,0.0,0.0
2023-09-22 00:00:00+03:00,23.18,25.28,22.98,24.9,368017052,0.0,0.0
2023-09-25 00:00:00+03:00,25.04,25.54,24.84,25.16,231929935,0.0,0.0
2023-09-26 00:00:00+03:00,25.24,26.46,24.7,24.74,262639423,0.0,0.0
2023-09-27 00:00:00+03:00,24.8,26.0,24.74,25.5,240650341,0.0,0.0
2023-09-28 00:00:00+03:00,25.7,26.18,25.24,25.42,186939710,0.0,0.0
2023-09-29 00:00:00+03:00,25.72,26.52,25.6,25.74,207262772,0.0,0.0
2023-10-02 00:00:00+03:00,25.9,26.38,25.66,25.94,152040635,0.0,0.0
2023-10-03 00:00:00+03:00,26.06,26.22,24.94,25.12,126970218,0.0,0.0
2023-10-04 00:00:00+03:00,25.16,25.62,24.64,24.76,154017685,0.0,0.0
2023-10-05 00:00:00+03:00,25.02,25.82,24.12,25.6,165050165,0.0,0.0
2023-10-06 00:00:00+03:00,25.4,25.82,24.78,24.9,126346918,0.0,0.0
2023-10-09 00:00:00+03:00,24.2,25.06,24.12,24.14,132082953,0.0,0.0
2023-10-10 00:00:00+03:00,24.66,25.0,24.4,24.82,99330755,0.0,0.0
2023-10-11 00:00:00+03:00,26.28,26.3,25.14,25.34,177846177,0.0,0.0
2023-10-12 00:00:00+03:00,25.66,25.8,24.16,24.62,139519393,0.0,0.0
2023-10-13 00:00:00+03:00,24.42,24.54,23.66,24.0,81876944,0.0,0.0
2023-10-16 00:00:00+03:00,24.4,24.4,23.36,23.36,87626875,0.0,0.0
2023-10-17 00:00:00+03:00,23.4,23.88,23.26,23.82,79067407,0.0,0.0
2023-10-18 00:00:00+03:00,23.4,23.56,22.5,22.82,92935887,0.0,0.0
2023-10-19 00:00:00+03:00,22.84,23.62,22.6,22.98,96673990,0.0,0.0
2023-10-20 00:00:00+03:00,22.64,22.84,21.52,21.6,86044444,0.0,0.0
2023-10-23 00:00:00+03:00,22.0,22.26,21.5,22.1,114149348,0.0,0.0
2023-10-24 00:00:00+03:00,22.18,24.18,22.16,24.0,172468076,0.0,0.0
2023-10-25 00:00:00+03:00,24.08,24.1,22.1,22.1,115573363,0.0,0.0
2023-10-26 00:00:00+03:00,22.38,22.76,21.46,22.3,278867491,0.0,0.0
2023-10-27 00:00:00+03:00,22.52,22.74,21.72,22.3,154240595,0.0,0.0
2023-10-30 00:00:00+03:00,22.08,22.18,21.6,21.7,118477861,0.0,0.0
2023-10-31 00:00:00+03:00,21.9,22.02,20.9,20.98,113010683,0.0,0.0
2023-11-01 00:00:00+03:00,21.18,21.24,19.87,20.66,130824664,0.0,0.0
