Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-02-13 00:00:00-05:00,109.87,111.06,109.44,110.51,6339000,0.0,0.0
2018-02-14 00:00:00-05:00,110.07,110.55,109.18,110.27,6259700,0.0,0.0
2018-02-15 00:00:00-05:00,110.63,111.63,110.04,111.59,5606400,0.0,0.0
2018-02-16 00:00:00-05:00,111.36,114.33,111.26,113.22,7970100,0.0,0.0
2018-02-20 00:00:00-05:00,112.99,113.48,111.11,111.29,6563500,0.0,0.0
2018-02-21 00:00:00-05:00,111.23,112.61,110.43,110.47,6578000,0.0,0.0
2018-02-22 00:00:00-05:00,110.63,111.41,110.1,110.47,5732200,0.0,0.0
2018-02-23 00:00:00-05:00,110.62,112.31,110.56,112.26,5126800,0.0,0.0
2018-02-26 00:00:00-05:00,112.72,114.17,112.11,113.03,6684400,0.84,0.0
2018-02-27 00:00:00-05:00,113.15,113.9,112.62,112.68,7158600,0.0,0.0
2018-02-28 00:00:00-05:00,112.92,113.25,111.14,111.15,7985900,0.0,0.0
2018-03-01 00:00:00-05:00,110.49,111.36,108.28,108.93,9424000,0.0,0.0
2018-03-02 00:00:00-05:00,108.61,110.49,108.61,110.24,6910400,0.0,0.0
2018-03-05 00:00:00-05:00,110.08,111.51,109.7,111.07,5799800,0.0,0.0
2018-03-06 00:00:00-05:00,111.25,111.43,109.47,109.73,5546500,0.0,0.0
2018-03-07 00:00:00-05:00,109.1,110.68,108.92,110.43,6391700,0.0,0.0
2018-03-08 00:00:00-05:00,110.68,113.22,110.68,113.02,6423400,0.0,0.0
2018-03-09 00:00:00-05:00,113.4,114.52,112.59,114.51,7557800,0.0,0.0
2018-03-12 00:00:00-04:00,114.51,114.87,113.24,113.5,4942000,0.0,0.0
2018-03-13 00:00:00-04:00,114.51,115.87,114.21,114.98,9152300,0.0,0.0
2018-03-14 00:00:00-04:00,115.74,116.13,112.88,113.24,6770600,0.0,0.0
2018-03-15 00:00:00-04:00,113.44,114.88,113.37,113.87,6147200,0.0,0.0
2018-03-16 00:00:00-04:00,113.96,115.02,113.05,114.4,14233500,0.0,0.0
2018-03-19 00:00:00-04:00,114.12,114.22,110.71,111.46,6017000,0.0,0.0
2018-03-20 00:00:00-04:00,111.92,112.78,110.72,112.29,6214300,0.0,0.0
2018-03-21 00:00:00-04:00,112.45,113.63,111.82,112.27,5158700,0.0,0.0
2018-03-22 00:00:00-04:00,111.66,111.84,108.77,109.01,7560100,0.0,0.0
2018-03-23 00:00:00-04:00,109.23,109.37,106.89,107.06,8452500,0.0,0.0
2018-03-26 00:00:00-04:00,108.18,109.15,107.15,109.02,8358200,0.0,0.0
2018-03-27 00:00:00-04:00,108.78,110.48,108.16,108.87,7789900,0.0,0.0
2018-03-28 00:00:00-04:00,109.23,110.42,108.87,109.07,6868500,0.0,0.0
2018-03-29 00:00:00-04:00,109.52,110.19,108.53,109.67,6119400,0.0,0.0
2018-04-02 00:00:00-04:00,109.39,109.44,105.73,106.6,8916900,0.0,0.0
2018-04-03 00:00:00-04:00,107.13,109.96,106.7,109.84,8035000,0.0,0.0
2018-04-04 00:00:00-04:00,108.6,112.21,108.16,111.6,7717100,0.0,0.0
2018-04-05 00:00:00-04:00,111.6,112.28,110.83,111.86,5621700,0.0,0.0
2018-04-06 00:00:00-04:00,111.44,111.8,108.18,109.63,6399300,0.0,0.0
2018-04-09 00:00:00-04:00,110.1,112.23,109.27,110.81,6395800,0.0,0.0
2018-04-10 00:00:00-04:00,111.47,112.03,110.65,111.47,6019300,0.0,0.0
2018-04-11 00:00:00-04:00,110.52,111.55,110.42,110.94,4575400,0.0,0.0
2018-04-12 00:00:00-04:00,111.33,112.38,111.13,111.62,4559800,0.0,0.0
2018-04-13 00:00:00-04:00,112.19,112.47,110.94,111.78,4742300,0.0,0.0
2018-04-16 00:00:00-04:00,112.46,113.72,112.35,112.76,6379600,0.0,0.0
2018-04-17 00:00:00-04:00,113.06,113.14,110.24,111.72,11008700,0.0,0.0
2018-04-18 00:00:00-04:00,110.99,111.17,108.64,109.3,9383600,0.0,0.0
2018-04-19 00:00:00-04:00,109.23,109.77,108.59,109.16,5959500,0.0,0.0
2018-04-20 00:00:00-04:00,109.54,109.8,107.98,108.4,7743900,0.0,0.0
2018-04-23 00:00:00-04:00,108.58,108.94,107.64,108.54,7501900,0.0,0.0
2018-04-24 00:00:00-04:00,108.64,109.08,107.24,107.99,6577500,0.0,0.0
2018-04-25 00:00:00-04:00,107.75,108.56,107.21,108.48,5859600,0.0,0.0
2018-04-26 00:00:00-04:00,108.36,110.59,108.36,109.55,8211100,0.0,0.0
2018-04-27 00:00:00-04:00,109.31,110.22,109.11,109.77,4266800,0.0,0.0
2018-04-30 00:00:00-04:00,110.28,110.38,108.25,108.25,8219400,0.0,0.0
2018-05-01 00:00:00-04:00,108.1,108.38,106.95,107.84,5122600,0.0,0.0
2018-05-02 00:00:00-04:00,107.42,107.98,105.43,105.69,7390800,0.0,0.0
2018-05-03 00:00:00-04:00,105.52,105.85,103.79,105.29,7282900,0.0,0.0
2018-05-04 00:00:00-04:00,104.92,106.56,104.24,106.28,6127600,0.0,0.0
2018-05-07 00:00:00-04:00,106.24,107.18,105.54,105.77,6707900,0.0,0.0
2018-05-08 00:00:00-04:00,105.14,105.68,104.14,104.93,5951800,0.0,0.0
2018-05-09 00:00:00-04:00,105.25,106.16,104.86,105.7,6808600,0.0,0.0
2018-05-10 00:00:00-04:00,106.31,107.87,106.12,107.27,4948000,0.0,0.0
2018-05-11 00:00:00-04:00,107.63,109.2,107.63,108.89,5716700,0.0,0.0
2018-05-14 00:00:00-04:00,108.99,109.21,107.49,107.88,6101600,0.0,0.0
2018-05-15 00:00:00-04:00,107.44,107.69,106.46,107.09,5875700,0.0,0.0
2018-05-16 00:00:00-04:00,107.35,107.75,106.97,107.27,3818100,0.0,0.0
2018-05-17 00:00:00-04:00,107.39,107.48,105.73,105.99,6473400,0.0,0.0
2018-05-18 00:00:00-04:00,105.93,106.5,105.5,106.32,5433900,0.0,0.0
2018-05-21 00:00:00-04:00,106.65,106.97,105.54,105.88,5558700,0.0,0.0
2018-05-22 00:00:00-04:00,105.95,106.32,105.06,105.19,7172700,0.0,0.0
2018-05-23 00:00:00-04:00,105.15,106.09,105.04,105.65,4940800,0.0,0.0
2018-05-24 00:00:00-04:00,105.45,105.6,104.02,104.62,6923600,0.0,0.0
2018-05-25 00:00:00-04:00,104.8,105.87,104.43,104.72,4594800,0.9,0.0
2018-05-29 00:00:00-04:00,103.89,104.15,102.27,102.94,9821900,0.0,0.0
2018-05-30 00:00:00-04:00,103.56,104.82,103.06,104.29,6423700,0.0,0.0
2018-05-31 00:00:00-04:00,104.25,104.54,103.06,103.13,10337500,0.0,0.0
2018-06-01 00:00:00-04:00,103.79,104.6,103.43,104.54,5741000,0.0,0.0
2018-06-04 00:00:00-04:00,105.05,105.5,104.34,105.14,4853000,0.0,0.0
2018-06-05 00:00:00-04:00,105.22,105.66,104.23,104.73,5125400,0.0,0.0
2018-06-06 00:00:00-04:00,105.16,105.86,104.72,105.86,6799300,0.0,0.0
2018-06-07 00:00:00-04:00,106.04,106.47,105.41,106.33,7414100,0.0,0.0
