Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-08-22 00:00:00+03:00,56.0,59.45,55.7,58.0,30972918,0.0,0.0
2023-08-23 00:00:00+03:00,58.55,58.7,54.65,54.65,19932064,0.0,0.0
2023-08-24 00:00:00+03:00,55.35,58.35,55.05,57.05,39035689,0.0,0.0
2023-08-25 00:00:00+03:00,57.5,58.4,56.35,58.15,21557354,0.0,0.0
2023-08-28 00:00:00+03:00,59.0,62.4,58.9,60.85,35167603,0.0,0.0
2023-08-29 00:00:00+03:00,61.35,61.95,59.1,59.6,19314708,0.0,0.0
2023-08-31 00:00:00+03:00,60.5,65.55,60.25,65.55,33499235,0.0,0.0
2023-09-01 00:00:00+03:00,67.3,71.8,63.65,66.25,88530260,0.0,0.0
2023-09-04 00:00:00+03:00,67.65,72.85,67.65,72.45,51597715,0.0,0.0
2023-09-05 00:00:00+03:00,71.8,75.65,70.75,70.9,56960788,0.0,0.0
2023-09-06 00:00:00+03:00,71.45,72.55,68.7,68.75,29335373,0.0,0.0
2023-09-07 00:00:00+03:00,70.0,71.0,67.75,69.1,30213159,0.0,0.0
2023-09-08 00:00:00+03:00,69.2,70.9,68.25,69.25,33291953,0.0,0.0
2023-09-11 00:00:00+03:00,70.3,74.6,69.8,70.0,63864599,0.0,0.0
2023-09-12 00:00:00+03:00,70.0,71.5,66.8,67.45,30286757,0.0,0.0
2023-09-13 00:00:00+03:00,67.8,68.3,65.2,65.4,22004686,0.0,0.0
2023-09-14 00:00:00+03:00,65.5,69.65,64.55,69.65,34764231,0.0,0.0
2023-09-15 00:00:00+03:00,69.65,71.6,67.8,67.95,36464372,0.0,0.0
2023-09-18 00:00:00+03:00,67.95,68.75,62.9,63.15,21952177,0.0,0.0
2023-09-19 00:00:00+03:00,63.1,64.7,62.1,63.2,27494940,0.0,0.0
2023-09-20 00:00:00+03:00,63.6,67.25,63.15,64.1,24146548,0.0,0.0
2023-09-21 00:00:00+03:00,63.95,67.15,62.9,66.65,21208191,0.0,0.0
2023-09-22 00:00:00+03:00,65.8,66.45,63.95,64.45,18069429,0.0,0.0
2023-09-25 00:00:00+03:00,65.3,66.45,64.6,65.55,24946430,0.0,0.0
2023-09-26 00:00:00+03:00,66.0,66.5,62.9,63.0,23922268,0.0,0.0
2023-09-27 00:00:00+03:00,63.2,64.35,62.7,63.2,21847187,0.0,0.0
2023-09-28 00:00:00+03:00,63.45,65.3,62.0,62.2,18484609,0.0,0.0
2023-09-29 00:00:00+03:00,62.6,68.4,62.55,66.0,38831821,0.0,0.0
2023-10-02 00:00:00+03:00,66.9,68.85,66.05,66.85,22194256,0.0,0.0
2023-10-03 00:00:00+03:00,67.05,70.9,67.05,70.9,28578006,0.0,0.0
2023-10-04 00:00:00+03:00,70.9,72.55,68.35,68.4,29535013,0.0,0.0
2023-10-05 00:00:00+03:00,68.9,71.8,67.7,70.6,25233859,0.0,0.0
2023-10-06 00:00:00+03:00,70.0,72.15,69.5,70.0,23951708,0.0,0.0
2023-10-09 00:00:00+03:00,69.6,71.5,66.15,66.35,25814757,0.0,0.0
2023-10-10 00:00:00+03:00,67.4,69.55,67.15,69.1,17794868,0.0,0.0
2023-10-11 00:00:00+03:00,69.15,72.15,68.35,68.95,42473556,0.0,0.0
2023-10-12 00:00:00+03:00,70.1,72.2,66.6,70.3,45584593,0.0,0.0
2023-10-13 00:00:00+03:00,69.95,70.7,68.1,68.1,27187567,0.0,0.0
2023-10-16 00:00:00+03:00,69.3,72.9,68.5,68.9,57593214,0.0,0.0
2023-10-17 00:00:00+03:00,69.7,70.0,66.5,68.3,20948449,0.0,0.0
2023-10-18 00:00:00+03:00,67.0,68.4,64.55,64.6,17956526,0.0,0.0
2023-10-19 00:00:00+03:00,64.9,65.55,61.7,62.15,15056664,0.0,0.0
2023-10-20 00:00:00+03:00,61.25,61.45,56.55,57.0,18833419,0.0,0.0
2023-10-23 00:00:00+03:00,58.4,58.9,56.0,57.3,18140998,0.0,0.0
2023-10-24 00:00:00+03:00,57.95,59.45,57.6,58.9,20872006,0.0,0.0
2023-10-25 00:00:00+03:00,59.25,60.7,53.5,53.55,21633949,0.0,0.0
2023-10-26 00:00:00+03:00,54.3,56.6,53.1,55.95,14018181,0.0,0.0
2023-10-27 00:00:00+03:00,55.5,56.25,53.05,55.6,13272067,0.0,0.0
2023-10-30 00:00:00+03:00,55.6,57.4,55.1,55.4,27059062,0.0,0.0
2023-10-31 00:00:00+03:00,55.8,56.0,52.2,52.6,12584055,0.0,0.0
2023-11-01 00:00:00+03:00,53.15,53.75,50.5,53.05,21170845,0.0,0.0
2023-11-02 00:00:00+03:00,53.45,54.7,52.95,53.75,17535800,0.0,0.0
2023-11-03 00:00:00+03:00,53.8,54.35,51.95,53.55,13772078,0.0,0.0
2023-11-06 00:00:00+03:00,53.9,55.1,53.6,54.35,11459742,0.0,0.0
2023-11-07 00:00:00+03:00,54.3,55.45,53.55,54.2,13138245,0.0,0.0
2023-11-08 00:00:00+03:00,54.75,56.0,54.3,54.6,14497644,0.0,0.0
2023-11-09 00:00:00+03:00,54.45,55.85,53.85,55.7,13069516,0.0,0.0
2023-11-10 00:00:00+03:00,55.7,55.9,54.6,55.3,8095177,0.0,0.0
