Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-09-08 00:00:00+03:00,21.56,21.6,20.82,20.84,122772000,0.0,0.0
2023-09-11 00:00:00+03:00,20.98,21.06,19.93,19.93,133568386,0.0,0.0
2023-09-12 00:00:00+03:00,19.99,20.24,19.57,19.7,125969010,0.0,0.0
2023-09-13 00:00:00+03:00,19.83,20.2,19.53,19.56,140420743,0.0,0.0
2023-09-14 00:00:00+03:00,19.68,19.79,18.99,19.63,117536106,0.0,0.0
2023-09-15 00:00:00+03:00,19.65,19.98,19.3,19.41,115730858,0.0,0.0
2023-09-18 00:00:00+03:00,19.4,19.55,18.51,18.51,111489470,0.0,0.0
2023-09-19 00:00:00+03:00,18.5,18.76,18.26,18.7,109609488,0.0,0.0
2023-09-20 00:00:00+03:00,18.74,19.41,18.61,18.92,179471821,0.0,0.0
2023-09-21 00:00:00+03:00,18.9,19.72,18.55,19.69,116746523,0.0,0.0
2023-09-22 00:00:00+03:00,19.7,20.22,19.6,19.9,140841404,0.0,0.0
2023-09-25 00:00:00+03:00,20.1,20.52,20.04,20.38,144191641,0.0,0.0
2023-09-26 00:00:00+03:00,20.44,20.64,19.9,19.9,107506688,0.0,0.0
2023-09-27 00:00:00+03:00,19.97,20.0,19.5,19.6,70243276,0.0,0.0
2023-09-28 00:00:00+03:00,19.63,19.83,19.37,19.45,71867828,0.0,0.0
2023-09-29 00:00:00+03:00,19.52,19.82,19.5,19.64,101955123,0.0,0.0
2023-10-02 00:00:00+03:00,19.72,20.78,19.71,20.62,184683517,0.0,0.0
2023-10-03 00:00:00+03:00,20.96,22.36,20.6,21.8,388277328,0.0,0.0
2023-10-04 00:00:00+03:00,21.82,22.68,21.66,22.0,313176817,0.0,0.0
2023-10-05 00:00:00+03:00,22.34,23.5,21.8,23.5,323798672,0.0,0.0
2023-10-06 00:00:00+03:00,24.4,24.64,23.1,23.1,250363282,0.0,0.0
2023-10-09 00:00:00+03:00,22.88,24.04,22.72,23.18,224186989,0.0,0.0
2023-10-10 00:00:00+03:00,23.6,24.8,22.78,24.64,239332668,0.0,0.0
2023-10-11 00:00:00+03:00,24.36,25.14,24.1,24.18,239069830,0.0,0.0
2023-10-12 00:00:00+03:00,24.62,24.7,22.82,23.4,183958936,0.0,0.0
2023-10-13 00:00:00+03:00,23.34,24.64,23.06,24.0,231836741,0.0,0.0
2023-10-16 00:00:00+03:00,24.3,24.4,22.4,22.44,165451287,0.0,0.0
2023-10-17 00:00:00+03:00,22.5,22.92,22.12,22.86,149092635,0.0,0.0
2023-10-18 00:00:00+03:00,22.38,22.6,21.44,21.54,143009216,0.0,0.0
2023-10-19 00:00:00+03:00,21.62,22.02,20.6,20.84,175182970,0.0,0.0
2023-10-20 00:00:00+03:00,20.68,21.22,20.0,20.34,178967542,0.0,0.0
2023-10-23 00:00:00+03:00,20.84,21.12,20.18,20.8,128497167,0.0,0.0
2023-10-24 00:00:00+03:00,20.88,21.48,20.8,21.18,171831152,0.0,0.0
2023-10-25 00:00:00+03:00,21.26,21.64,19.07,19.07,140719780,0.0,0.0
2023-10-26 00:00:00+03:00,19.4,19.82,18.87,19.43,172706267,0.0,0.0
2023-10-27 00:00:00+03:00,19.43,20.3,19.27,20.08,152255845,0.0,0.0
2023-10-30 00:00:00+03:00,19.98,20.82,19.93,20.48,119223342,0.0,0.0
2023-10-31 00:00:00+03:00,20.58,20.6,19.56,19.68,68364886,0.0,0.0
2023-11-01 00:00:00+03:00,19.8,19.87,18.53,19.29,110926953,0.0,0.0
2023-11-02 00:00:00+03:00,19.46,19.7,19.33,19.41,88005314,0.0,0.0
2023-11-03 00:00:00+03:00,19.45,19.77,19.21,19.46,102987106,0.0,0.0
2023-11-06 00:00:00+03:00,19.7,20.42,19.69,20.3,121610089,0.0,0.0
2023-11-07 00:00:00+03:00,20.32,20.96,20.26,20.64,106940473,0.0,0.0
2023-11-08 00:00:00+03:00,20.86,21.0,20.08,20.48,80711092,0.0,0.0
2023-11-09 00:00:00+03:00,20.3,21.62,20.3,21.48,163910875,0.0,0.0
2023-11-10 00:00:00+03:00,21.42,21.78,21.06,21.18,97260882,0.0,0.0
2023-11-13 00:00:00+03:00,21.18,21.4,20.16,20.2,103703044,0.0,0.0
2023-11-14 00:00:00+03:00,20.74,21.62,20.44,21.48,161181028,0.0,0.0
2023-11-15 00:00:00+03:00,21.52,21.72,21.1,21.32,85221352,0.0,0.0
2023-11-16 00:00:00+03:00,21.34,22.04,21.32,21.84,104177082,0.0,0.0
2023-11-17 00:00:00+03:00,21.86,22.46,21.6,22.36,88071376,0.0,0.0
2023-11-20 00:00:00+03:00,22.52,22.74,22.22,22.34,74036268,0.0,0.0
2023-11-21 00:00:00+03:00,22.42,22.68,22.16,22.28,67359344,0.0,0.0
2023-11-22 00:00:00+03:00,22.34,22.62,21.84,21.96,83749913,0.0,0.0
2023-11-23 00:00:00+03:00,21.92,22.14,21.36,21.36,83882965,0.0,0.0
2023-11-24 00:00:00+03:00,21.38,22.14,20.96,21.92,89071993,0.0,0.0
2023-11-27 00:00:00+03:00,22.0,22.38,21.84,22.26,99756102,0.0,0.0
2023-11-28 00:00:00+03:00,22.26,22.4,21.62,21.94,77189304,0.0,0.0
2023-11-29 00:00:00+03:00,21.98,22.06,21.38,21.44,63411845,0.0,0.0
2023-11-30 00:00:00+03:00,21.5,22.06,21.4,21.6,96936762,0.0,0.0
2023-12-01 00:00:00+03:00,21.82,21.94,21.42,21.7,76323299,0.0,0.0
2023-12-04 00:00:00+03:00,21.78,22.0,21.58,21.62,105291189,0.0,0.0
2023-12-05 00:00:00+03:00,21.68,21.74,20.98,21.06,67669367,0.0,0.0
2023-12-06 00:00:00+03:00,21.08,21.12,20.04,20.1,69818725,0.0,0.0
2023-12-07 00:00:00+03:00,20.16,20.48,19.52,20.48,72173141,0.0,0.0
2023-12-08 00:00:00+03:00,20.52,20.66,19.98,20.12,63187226,0.0,0.0
2023-12-11 00:00:00+03:00,20.1,20.16,19.11,19.11,105370262,0.0,0.0
2023-12-12 00:00:00+03:00,19.08,19.23,18.79,18.89,84680490,0.0,0.0
2023-12-13 00:00:00+03:00,18.85,19.16,18.39,18.39,84899879,0.0,0.0
2023-12-14 00:00:00+03:00,18.6,19.16,18.35,19.0,79409816,0.0,0.0
2023-12-15 00:00:00+03:00,19.0,19.65,19.0,19.58,79561647,0.0,0.0
2023-12-18 00:00:00+03:00,19.36,19.7,18.87,18.89,64902991,0.0,0.0
2023-12-19 00:00:00+03:00,18.89,19.01,18.21,18.48,96048594,0.0,0.0
2023-12-20 00:00:00+03:00,18.48,18.66,18.0,18.16,71635766,0.0,0.0
2023-12-21 00:00:00+03:00,18.14,18.64,18.12,18.61,63826087,0.0,0.0
2023-12-22 00:00:00+03:00,18.67,18.82,18.0,18.11,57038690,0.0,0.0
2023-12-25 00:00:00+03:00,18.02,18.06,17.35,17.38,39602033,0.0,0.0
2023-12-26 00:00:00+03:00,17.47,17.75,17.21,17.28,88177035,0.0,0.0
2023-12-27 00:00:00+03:00,17.27,17.4,16.96,17.05,73718159,0.0,0.0
2023-12-28 00:00:00+03:00,17.1,17.76,17.1,17.59,64463039,0.0,0.0
2023-12-29 00:00:00+03:00,17.59,18.54,17.55,18.21,72796870,0.0,0.0
2024-01-02 00:00:00+03:00,18.4,18.73,18.37,18.68,57003641,0.0,0.0
2024-01-03 00:00:00+03:00,18.65,19.06,18.15,18.15,77839070,0.0,0.0
2024-01-04 00:00:00+03:00,18.22,19.7,18.21,19.54,113775222,0.0,0.0
2024-01-05 00:00:00+03:00,19.46,19.64,19.2,19.43,74570262,0.0,0.0
2024-01-08 00:00:00+03:00,19.62,20.4,19.61,20.4,74221420,0.0,0.0
2024-01-09 00:00:00+03:00,20.3,20.5,19.6,19.65,61918346,0.0,0.0
2024-01-10 00:00:00+03:00,19.66,20.32,19.53,20.1,92350248,0.0,0.0
2024-01-11 00:00:00+03:00,20.24,20.62,19.96,20.04,65429027,0.0,0.0
2024-01-12 00:00:00+03:00,19.93,20.6,19.66,20.4,86447786,0.0,0.0
2024-01-15 00:00:00+03:00,20.4,20.82,20.32,20.48,73663933,0.0,0.0
2024-01-16 00:00:00+03:00,20.5,20.84,20.4,20.68,73981879,0.0,0.0
2024-01-17 00:00:00+03:00,20.5,20.94,20.36,20.42,81806634,0.0,0.0
2024-01-18 00:00:00+03:00,20.66,20.7,20.06,20.16,50103687,0.0,0.0
2024-01-19 00:00:00+03:00,20.22,20.26,19.79,19.82,59337807,0.0,0.0
2024-01-22 00:00:00+03:00,19.8,20.34,19.69,19.85,96012028,0.0,0.0
2024-01-23 00:00:00+03:00,20.12,20.3,19.54,19.67,72605723,0.0,0.0
2024-01-24 00:00:00+03:00,19.78,20.2,19.52,20.04,70540702,0.0,0.0
2024-01-25 00:00:00+03:00,20.18,20.46,20.02,20.4,76979754,0.0,0.0
