Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-09-08 00:00:00+03:00,6.87,7.02,6.82,6.88,150984481,0.0,0.0
2023-09-11 00:00:00+03:00,6.95,7.04,6.83,6.83,62857808,0.0,0.0
2023-09-12 00:00:00+03:00,6.85,6.89,6.7,6.72,37189670,0.0,0.0
2023-09-13 00:00:00+03:00,6.75,6.8,6.53,6.54,43960235,0.0,0.0
2023-09-14 00:00:00+03:00,6.55,6.71,6.39,6.58,39749296,0.0,0.0
2023-09-15 00:00:00+03:00,6.58,6.59,6.46,6.47,23947265,0.0,0.0
2023-09-18 00:00:00+03:00,6.5,6.51,6.16,6.16,19860442,0.0,0.0
2023-09-19 00:00:00+03:00,6.18,6.29,6.14,6.2,20172295,0.0,0.0
2023-09-20 00:00:00+03:00,6.23,6.34,6.11,6.11,28112940,0.0,0.0
2023-09-21 00:00:00+03:00,6.11,6.27,6.09,6.23,26014619,0.0,0.0
2023-09-22 00:00:00+03:00,6.25,6.55,6.22,6.5,68757579,0.0,0.0
2023-09-25 00:00:00+03:00,6.57,6.67,6.51,6.63,30781579,0.0,0.0
2023-09-26 00:00:00+03:00,6.63,6.75,6.47,6.48,38292323,0.0,0.0
2023-09-27 00:00:00+03:00,6.5,6.63,6.47,6.49,27939140,0.0,0.0
2023-09-28 00:00:00+03:00,6.52,6.58,6.46,6.48,23111351,0.0,0.0
2023-09-29 00:00:00+03:00,6.51,6.7,6.49,6.62,31774650,0.0,0.0
2023-10-02 00:00:00+03:00,6.74,7.03,6.72,6.88,64237460,0.0,0.0
2023-10-03 00:00:00+03:00,6.93,6.96,6.73,6.76,32119129,0.0,0.0
2023-10-04 00:00:00+03:00,6.77,7.04,6.73,7.0,61618187,0.0,0.0
2023-10-05 00:00:00+03:00,6.98,7.05,6.64,6.88,88633611,0.0,0.0
2023-10-06 00:00:00+03:00,6.87,6.96,6.76,6.85,44178394,0.0,0.0
2023-10-09 00:00:00+03:00,6.73,6.87,6.5,6.5,131282915,0.0,0.0
2023-10-10 00:00:00+03:00,6.61,6.82,6.56,6.62,87639065,0.0,0.0
2023-10-11 00:00:00+03:00,6.66,6.7,6.48,6.5,42359610,0.0,0.0
2023-10-12 00:00:00+03:00,6.61,6.98,6.38,6.6,170700638,0.0,0.0
2023-10-13 00:00:00+03:00,6.61,6.82,6.41,6.72,183722769,0.0,0.0
2023-10-16 00:00:00+03:00,6.88,6.9,6.24,6.24,163402569,0.0,0.0
2023-10-17 00:00:00+03:00,6.28,6.39,6.24,6.3,30827918,0.0,0.0
2023-10-18 00:00:00+03:00,6.2,6.32,5.89,5.89,48069383,0.0,0.0
2023-10-19 00:00:00+03:00,5.9,5.97,5.68,5.69,41122326,0.0,0.0
2023-10-20 00:00:00+03:00,5.64,5.68,5.38,5.44,24080188,0.0,0.0
2023-10-23 00:00:00+03:00,5.49,5.64,5.43,5.62,25102334,0.0,0.0
2023-10-24 00:00:00+03:00,5.63,5.79,5.62,5.77,21582725,0.0,0.0
2023-10-25 00:00:00+03:00,5.79,5.84,5.51,5.51,18622708,0.0,0.0
2023-10-26 00:00:00+03:00,5.59,5.64,5.39,5.62,22059916,0.0,0.0
2023-10-27 00:00:00+03:00,5.63,5.7,5.52,5.7,12911256,0.0,0.0
2023-10-30 00:00:00+03:00,5.67,5.75,5.56,5.62,14482558,0.0,0.0
2023-10-31 00:00:00+03:00,5.64,5.67,5.48,5.52,13289730,0.0,0.0
2023-11-01 00:00:00+03:00,5.53,5.6,5.5,5.59,16335559,0.0,0.0
2023-11-02 00:00:00+03:00,5.62,5.71,5.59,5.71,11786990,0.0,0.0
2023-11-03 00:00:00+03:00,5.71,5.74,5.61,5.66,11326506,0.0,0.0
2023-11-06 00:00:00+03:00,5.7,6.22,5.7,5.8,19107689,0.0,0.0
2023-11-07 00:00:00+03:00,5.86,5.87,5.69,5.72,14022022,0.0,0.0
