date,AMZN,AAPL
2020-01-02 16:05:00-05:00,,
2020-01-03 16:05:00-05:00,,
2020-01-06 16:05:00-05:00,,
2020-01-07 16:05:00-05:00,,
2020-01-08 16:05:00-05:00,,
2020-01-09 16:05:00-05:00,,
2020-01-10 16:05:00-05:00,2.0,-9.0
2020-01-13 16:05:00-05:00,,
2020-01-14 16:05:00-05:00,,
2020-01-15 16:05:00-05:00,,
2020-01-16 16:05:00-05:00,,
2020-01-17 16:05:00-05:00,,
2020-01-21 16:05:00-05:00,,
2020-01-22 16:05:00-05:00,,
2020-01-23 16:05:00-05:00,,
2020-01-24 16:05:00-05:00,,
2020-01-27 16:05:00-05:00,,
2020-01-28 16:05:00-05:00,,
2020-01-29 16:05:00-05:00,,
2020-01-30 16:05:00-05:00,,
2020-01-31 16:05:00-05:00,,
2020-02-03 16:05:00-05:00,,
2020-02-04 16:05:00-05:00,,
2020-02-05 16:05:00-05:00,,
2020-02-06 16:05:00-05:00,,
2020-02-07 16:05:00-05:00,,
2020-02-10 16:05:00-05:00,,
2020-02-11 16:05:00-05:00,,
2020-02-12 16:05:00-05:00,,
2020-02-13 16:05:00-05:00,,
2020-02-14 16:05:00-05:00,,
2020-02-18 16:05:00-05:00,,
2020-02-19 16:05:00-05:00,,
2020-02-20 16:05:00-05:00,,
2020-02-21 16:05:00-05:00,,
2020-02-24 16:05:00-05:00,,
2020-02-25 16:05:00-05:00,,
2020-02-26 16:05:00-05:00,,
2020-02-27 16:05:00-05:00,,
2020-02-28 16:05:00-05:00,,
2020-03-02 16:05:00-05:00,,
2020-03-03 16:05:00-05:00,,
2020-03-04 16:05:00-05:00,2.0,-9.0
2020-03-05 16:05:00-05:00,,
2020-03-06 16:05:00-05:00,,
2020-03-09 16:05:00-04:00,,
2020-03-10 16:05:00-04:00,,
2020-03-11 16:05:00-04:00,,
2020-03-12 16:05:00-04:00,,
2020-03-13 16:05:00-04:00,,
2020-03-16 16:05:00-04:00,,
2020-03-17 16:05:00-04:00,,
2020-03-18 16:05:00-04:00,,
2020-03-19 16:05:00-04:00,,
2020-03-20 16:05:00-04:00,,
2020-03-23 16:05:00-04:00,,
2020-03-24 16:05:00-04:00,,
2020-03-25 16:05:00-04:00,,
2020-03-26 16:05:00-04:00,,
2020-03-27 16:05:00-04:00,,
2020-03-30 16:05:00-04:00,,
2020-03-31 16:05:00-04:00,,
2020-04-01 16:05:00-04:00,,
2020-04-02 16:05:00-04:00,,
2020-04-03 16:05:00-04:00,,
2020-04-06 16:05:00-04:00,,
2020-04-07 16:05:00-04:00,,
2020-04-08 16:05:00-04:00,,
2020-04-09 16:05:00-04:00,,
2020-04-13 16:05:00-04:00,,
2020-04-14 16:05:00-04:00,,
2020-04-15 16:05:00-04:00,,
2020-04-16 16:05:00-04:00,,
2020-04-17 16:05:00-04:00,,
2020-04-20 16:05:00-04:00,-2.0,10.0
2020-04-21 16:05:00-04:00,,
2020-04-22 16:05:00-04:00,,
2020-04-23 16:05:00-04:00,,
2020-04-24 16:05:00-04:00,,
2020-04-27 16:05:00-04:00,,
2020-04-28 16:05:00-04:00,,
2020-04-29 16:05:00-04:00,,
2020-04-30 16:05:00-04:00,,
2020-05-01 16:05:00-04:00,,
2020-05-04 16:05:00-04:00,,
2020-05-05 16:05:00-04:00,,
2020-05-06 16:05:00-04:00,,
2020-05-07 16:05:00-04:00,,
2020-05-08 16:05:00-04:00,,
2020-05-11 16:05:00-04:00,,
2020-05-12 16:05:00-04:00,,
2020-05-13 16:05:00-04:00,,
2020-05-14 16:05:00-04:00,,
2020-05-15 16:05:00-04:00,,
2020-05-18 16:05:00-04:00,,
2020-05-19 16:05:00-04:00,,
2020-05-20 16:05:00-04:00,,
2020-05-21 16:05:00-04:00,,
2020-05-22 16:05:00-04:00,,
2020-05-26 16:05:00-04:00,,
2020-05-27 16:05:00-04:00,,
2020-05-28 16:05:00-04:00,,
2020-05-29 16:05:00-04:00,,
2020-06-01 16:05:00-04:00,,
2020-06-02 16:05:00-04:00,,
2020-06-03 16:05:00-04:00,,
2020-06-04 16:05:00-04:00,,
2020-06-05 16:05:00-04:00,,
2020-06-08 16:05:00-04:00,,
2020-06-09 16:05:00-04:00,,
2020-06-10 16:05:00-04:00,1.0,-8.0
2020-06-11 16:05:00-04:00,,
2020-06-12 16:05:00-04:00,,
2020-06-15 16:05:00-04:00,,
2020-06-16 16:05:00-04:00,,
2020-06-17 16:05:00-04:00,,
2020-06-18 16:05:00-04:00,,
2020-06-22 16:05:00-04:00,,
2020-06-23 16:05:00-04:00,,
2020-06-24 16:05:00-04:00,,
2020-06-25 16:05:00-04:00,,
2020-06-26 16:05:00-04:00,,
2020-06-29 16:05:00-04:00,,
2020-06-30 16:05:00-04:00,,
2020-07-01 16:05:00-04:00,,
2020-07-02 16:05:00-04:00,,
2020-07-06 16:05:00-04:00,,
2020-07-07 16:05:00-04:00,,
2020-07-08 16:05:00-04:00,,
2020-07-09 16:05:00-04:00,,
2020-07-10 16:05:00-04:00,-1.0,7.0
2020-07-13 16:05:00-04:00,,
2020-07-14 16:05:00-04:00,,
2020-07-15 16:05:00-04:00,,
2020-07-16 16:05:00-04:00,,
2020-07-17 16:05:00-04:00,,
2020-07-20 16:05:00-04:00,,
2020-07-21 16:05:00-04:00,,
2020-07-22 16:05:00-04:00,,
2020-07-23 16:05:00-04:00,,
2020-07-24 16:05:00-04:00,-1.0,8.0
2020-07-27 16:05:00-04:00,,
2020-07-28 16:05:00-04:00,,
2020-07-29 16:05:00-04:00,,
2020-07-30 16:05:00-04:00,,
2020-07-31 16:05:00-04:00,,
2020-08-03 16:05:00-04:00,,
2020-08-04 16:05:00-04:00,,
2020-08-05 16:05:00-04:00,,
2020-08-06 16:05:00-04:00,,
2020-08-07 16:05:00-04:00,,
2020-08-10 16:05:00-04:00,,
2020-08-11 16:05:00-04:00,,
2020-08-12 16:05:00-04:00,,
2020-08-13 16:05:00-04:00,,
2020-08-14 16:05:00-04:00,,
2020-08-17 16:05:00-04:00,,
2020-08-18 16:05:00-04:00,,
2020-08-19 16:05:00-04:00,,
2020-08-20 16:05:00-04:00,,
2020-08-21 16:05:00-04:00,,
2020-08-24 16:05:00-04:00,,
2020-08-25 16:05:00-04:00,,
2020-08-26 16:05:00-04:00,,
2020-08-27 16:05:00-04:00,,
2020-08-28 16:05:00-04:00,,
2020-08-31 16:05:00-04:00,,
2020-09-01 16:05:00-04:00,,
2020-09-02 16:05:00-04:00,,
2020-09-03 16:05:00-04:00,,
2020-09-04 16:05:00-04:00,,
2020-09-08 16:05:00-04:00,,
2020-09-09 16:05:00-04:00,,
2020-09-10 16:05:00-04:00,,
2020-09-11 16:05:00-04:00,,
2020-09-14 16:05:00-04:00,,
2020-09-15 16:05:00-04:00,,
2020-09-16 16:05:00-04:00,,
2020-09-17 16:05:00-04:00,,
2020-09-18 16:05:00-04:00,,
2020-09-21 16:05:00-04:00,,
2020-09-22 16:05:00-04:00,,
2020-09-23 16:05:00-04:00,,
2020-09-24 16:05:00-04:00,,
2020-09-25 16:05:00-04:00,-1.0,26.0
