Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-09-08 00:00:00+03:00,64.1,65.05,63.4,64.4,37118909,0.0,0.0
2023-09-11 00:00:00+03:00,65.05,65.15,61.8,62.15,27740732,0.0,0.0
2023-09-12 00:00:00+03:00,62.1,62.7,60.85,60.95,28487134,0.0,0.0
2023-09-13 00:00:00+03:00,61.0,61.5,58.85,59.1,29572484,0.0,0.0
2023-09-14 00:00:00+03:00,59.25,60.4,58.4,60.35,32667124,0.0,0.0
2023-09-15 00:00:00+03:00,60.45,60.6,58.5,58.6,31759385,0.0,0.0
2023-09-18 00:00:00+03:00,58.65,59.05,55.7,55.8,41236233,0.0,0.0
2023-09-19 00:00:00+03:00,56.4,56.7,54.8,55.95,153318510,0.0,0.0
2023-09-20 00:00:00+03:00,56.05,57.3,55.55,55.55,47459094,0.0,0.0
2023-09-21 00:00:00+03:00,55.45,57.05,55.25,56.95,59566631,0.0,0.0
2023-09-22 00:00:00+03:00,57.4,57.5,56.15,56.5,41179184,0.0,0.0
2023-09-25 00:00:00+03:00,56.75,58.15,56.65,58.1,55521911,0.0,0.0
2023-09-26 00:00:00+03:00,58.55,59.1,57.9,58.25,70175477,0.0,0.0
2023-09-27 00:00:00+03:00,58.25,58.75,57.7,58.05,39265136,0.0,0.0
2023-09-28 00:00:00+03:00,58.1,58.8,57.9,58.35,37134112,0.0,0.0
2023-09-29 00:00:00+03:00,58.7,60.1,58.55,59.7,60124679,0.0,0.0
2023-10-02 00:00:00+03:00,60.0,61.4,59.65,61.05,59778775,0.0,0.0
2023-10-03 00:00:00+03:00,61.2,61.7,59.5,60.3,48884081,0.0,0.0
2023-10-04 00:00:00+03:00,60.3,60.4,58.9,59.0,42988585,0.0,0.0
2023-10-05 00:00:00+03:00,59.7,60.05,58.1,59.65,57688886,0.0,0.0
2023-10-06 00:00:00+03:00,59.1,60.05,59.0,59.5,36563608,0.0,0.0
2023-10-09 00:00:00+03:00,58.3,58.85,57.35,57.5,36402486,0.0,0.0
2023-10-10 00:00:00+03:00,58.25,59.25,57.9,58.95,33386413,0.0,0.0
2023-10-11 00:00:00+03:00,58.9,59.5,57.65,57.7,35270716,0.0,0.0
2023-10-12 00:00:00+03:00,58.3,58.85,56.35,57.7,40036325,0.0,0.0
2023-10-13 00:00:00+03:00,57.5,57.5,56.5,57.05,28596758,0.0,0.0
2023-10-16 00:00:00+03:00,57.65,57.9,56.05,56.5,30425075,0.0,0.0
2023-10-17 00:00:00+03:00,56.7,58.2,56.6,58.0,29193731,0.0,0.0
2023-10-18 00:00:00+03:00,57.1,57.85,56.05,56.1,31612624,0.0,0.0
2023-10-19 00:00:00+03:00,56.15,56.8,54.85,55.65,26559851,0.0,0.0
2023-10-20 00:00:00+03:00,55.45,55.45,53.25,53.8,27431187,0.0,0.0
2023-10-23 00:00:00+03:00,54.25,55.4,53.4,54.9,25945863,0.0,0.0
2023-10-24 00:00:00+03:00,55.05,56.7,54.75,56.2,25601456,0.0,0.0
2023-10-25 00:00:00+03:00,56.25,56.95,52.4,52.7,36159687,0.0,0.0
2023-10-26 00:00:00+03:00,53.0,54.7,52.25,54.35,41822137,0.0,0.0
2023-10-27 00:00:00+03:00,54.5,55.2,53.1,54.65,29207489,0.0,0.0
2023-10-30 00:00:00+03:00,54.9,55.65,54.15,55.25,19834837,0.0,0.0
2023-10-31 00:00:00+03:00,55.65,55.75,53.35,53.5,21316015,0.0,0.0
2023-11-01 00:00:00+03:00,54.0,54.25,52.05,53.8,19522387,0.0,0.0
2023-11-02 00:00:00+03:00,54.2,55.15,54.15,55.15,13786109,0.0,0.0
2023-11-03 00:00:00+03:00,55.2,55.8,54.35,55.65,16205440,0.0,0.0
2023-11-06 00:00:00+03:00,56.5,57.35,56.2,57.1,18721661,0.0,0.0
2023-11-07 00:00:00+03:00,57.0,58.35,56.75,58.05,31040819,0.0,0.0
2023-11-08 00:00:00+03:00,59.2,59.25,57.1,58.5,25585243,0.0,0.0
2023-11-09 00:00:00+03:00,57.5,58.95,57.15,58.4,29107650,0.0,0.0
2023-11-10 00:00:00+03:00,58.4,58.5,56.9,57.05,23869871,0.0,0.0
2023-11-13 00:00:00+03:00,57.1,57.1,55.4,55.4,22255350,0.0,0.0
2023-11-14 00:00:00+03:00,55.7,56.1,55.15,55.75,20616473,0.0,0.0
2023-11-15 00:00:00+03:00,56.0,58.3,55.55,57.8,38329194,0.0,0.0
2023-11-16 00:00:00+03:00,59.3,59.8,58.35,58.5,62813490,0.0,0.0
2023-11-17 00:00:00+03:00,58.4,59.05,58.35,58.55,23209670,0.0,0.0
2023-11-20 00:00:00+03:00,59.0,61.0,58.95,60.9,27928035,0.0,0.0
2023-11-21 00:00:00+03:00,61.05,61.5,59.9,60.6,25998827,0.0,0.0
2023-11-22 00:00:00+03:00,60.7,61.65,60.05,61.35,31525857,0.0,0.0
2023-11-23 00:00:00+03:00,61.35,62.15,60.4,60.55,39697902,0.0,0.0
2023-11-24 00:00:00+03:00,60.5,61.25,59.7,61.1,22681950,0.0,0.0
2023-11-27 00:00:00+03:00,61.7,63.15,61.5,62.55,33859333,0.0,0.0
2023-11-28 00:00:00+03:00,62.55,62.7,61.4,62.25,19849005,0.0,0.0
2023-11-29 00:00:00+03:00,62.45,62.7,61.25,62.35,22160136,0.0,0.0
2023-11-30 00:00:00+03:00,62.35,63.3,60.95,60.95,40439760,0.0,0.0
2023-12-01 00:00:00+03:00,62.1,62.85,61.2,62.0,30043292,0.0,0.0
2023-12-04 00:00:00+03:00,62.05,62.6,61.1,62.35,29050095,0.0,0.0
2023-12-05 00:00:00+03:00,62.4,62.75,61.6,61.95,19132662,0.0,0.0
2023-12-06 00:00:00+03:00,62.15,64.05,61.15,61.35,33914959,0.0,0.0
2023-12-07 00:00:00+03:00,61.35,62.7,60.35,62.7,23450663,0.0,0.0
