"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"USDJPY_M1";"Sell";"2013.09.02 08:00:00";"99.329";"0.10000";"2013.09.02 23:00:00";"99.679";"-35.00";"9965.00";"IST";"SL";"-35.00";"19.30";"15h 0m";""
"2";"USDJPY_M1";"Sell";"2013.09.03 00:00:00";"99.569";"0.10000";"2013.09.05 05:00:00";"99.919";"-35.00";"9930.00";"IST";"SL";"-35.00";"38.20";"2d 5h 0m";""
"3";"USDJPY_M1";"Sell";"2013.09.05 09:00:00";"99.879";"0.10000";"2013.09.05 22:00:00";"100.229";"-35.00";"9895.00";"IST";"SL";"-35.00";"19.90";"13h 0m";""
"4";"USDJPY_M1";"Sell";"2013.09.05 23:00:00";"100.158";"0.10000";"2013.09.08 21:00:00";"99.725";"43.30";"9938.30";"IST";"End Of Friday";"0.00";"159.80";"2d 22h 0m";""
"5";"USDJPY_M1";"Buy";"2013.09.08 21:00:00";"99.725";"0.10000";"2013.09.09 08:00:00";"99.375";"-35.00";"9903.30";"IST";"SL";"-35.00";"37.70";"11h 0m";""
"6";"USDJPY_M1";"Sell";"2013.09.10 04:00:00";"99.567";"0.10000";"2013.09.10 06:00:00";"99.917";"-35.00";"9868.30";"IST";"SL";"-35.00";"0.80";"2h 0m";""
"7";"USDJPY_M1";"Sell";"2013.09.10 18:00:00";"100.295";"0.10000";"2013.09.15 21:00:00";"98.669";"162.60";"10030.90";"IST";"End Of Friday";"-33.10";"162.60";"5d 3h 0m";""
"8";"USDJPY_M1";"Buy";"2013.09.16 05:00:00";"98.950";"0.10000";"2013.09.18 18:00:00";"98.600";"-35.00";"9995.90";"IST";"SL";"-35.00";"43.20";"2d 13h 0m";""
"9";"USDJPY_M1";"Buy";"2013.09.18 19:00:00";"97.978";"0.10000";"2013.09.22 21:00:00";"99.248";"127.00";"10122.90";"IST";"End Of Friday";"-21.90";"168.90";"4d 2h 0m";""
"10";"USDJPY_M1";"Buy";"2013.09.23 14:00:00";"98.841";"0.10000";"2013.09.24 14:00:00";"98.491";"-35.00";"10087.90";"IST";"SL";"-35.00";"33.30";"1d 0h 0m";""
"11";"USDJPY_M1";"Sell";"2013.09.24 17:00:00";"98.863";"0.10000";"2013.09.29 21:00:00";"97.694";"116.90";"10204.80";"IST";"End Of Friday";"-29.00";"116.90";"5d 4h 0m";""
"12";"USDJPY_M1";"Buy";"2013.09.29 21:00:00";"97.694";"0.10000";"2013.10.02 07:00:00";"97.344";"-35.00";"10169.80";"IST";"SL";"-35.00";"103.00";"2d 10h 0m";""
"13";"USDJPY_M1";"Buy";"2013.10.02 12:00:00";"97.557";"0.10000";"2013.10.02 13:00:00";"97.207";"-35.00";"10134.80";"IST";"SL";"-35.00";"0.00";"1h 0m";""
"14";"USDJPY_M1";"Buy";"2013.10.02 14:00:00";"97.245";"0.10000";"2013.10.06 21:00:00";"97.215";"-3.00";"10131.80";"IST";"End Of Friday";"-31.60";"62.60";"4d 7h 0m";""
"15";"USDJPY_M1";"Buy";"2013.10.07 16:00:00";"97.046";"0.10000";"2013.10.07 20:00:00";"96.696";"-35.00";"10096.80";"IST";"SL";"-35.00";"0.00";"4h 0m";""
"16";"USDJPY_M1";"Buy";"2013.10.08 03:00:00";"96.825";"0.10000";"2013.10.13 21:00:00";"98.240";"141.50";"10238.30";"IST";"End Of Friday";"-0.20";"176.70";"5d 18h 0m";""
"17";"USDJPY_M1";"Buy";"2013.10.14 18:00:00";"98.428";"0.10000";"2013.10.15 20:00:00";"98.078";"-35.00";"10203.30";"IST";"SL";"-35.00";"27.60";"1d 2h 0m";""
"18";"USDJPY_M1";"Sell";"2013.10.15 21:00:00";"98.173";"0.10000";"2013.10.15 23:00:00";"98.523";"-35.00";"10168.30";"IST";"SL";"-35.00";"1.80";"2h 0m";""
"19";"USDJPY_M1";"Sell";"2013.10.16 01:00:00";"98.531";"0.10000";"2013.10.16 14:00:00";"98.881";"-35.00";"10133.30";"IST";"SL";"-35.00";"26.60";"13h 0m";""
"20";"USDJPY_M1";"Buy";"2013.10.16 15:00:00";"98.882";"0.10000";"2013.10.17 04:00:00";"98.532";"-35.00";"10098.30";"IST";"SL";"-35.00";"12.20";"13h 0m";""
"21";"USDJPY_M1";"Sell";"2013.10.17 05:00:00";"98.549";"0.10000";"2013.10.20 21:00:00";"97.844";"70.50";"10168.80";"IST";"End Of Friday";"0.00";"97.20";"3d 16h 0m";""
"22";"USDJPY_M1";"Buy";"2013.10.21 00:00:00";"97.975";"0.10000";"2013.10.23 03:00:00";"97.625";"-35.00";"10133.80";"IST";"SL";"-35.00";"50.70";"2d 3h 0m";""
"23";"USDJPY_M1";"Sell";"2013.10.23 06:00:00";"97.363";"0.10000";"2013.10.27 21:00:00";"97.713";"-35.00";"10098.80";"IST";"SL";"-35.00";"40.10";"4d 15h 0m";""
