Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-09-08 00:00:00+03:00,29.5,29.98,28.4,29.5,5803802,0.0,0.0
2023-09-11 00:00:00+03:00,29.5,29.8,28.6,29.0,5971945,0.0,0.0
2023-09-12 00:00:00+03:00,29.12,30.48,28.8,30.1,5703439,0.0,0.0
2023-09-13 00:00:00+03:00,30.1,32.4,29.8,31.6,9856876,0.0,0.0
2023-09-14 00:00:00+03:00,31.6,32.04,30.06,31.16,6099758,0.0,0.0
2023-09-15 00:00:00+03:00,31.22,31.68,30.44,31.12,3919423,0.0,0.0
2023-09-18 00:00:00+03:00,30.92,32.18,30.08,30.9,5430361,0.0,0.0
2023-09-19 00:00:00+03:00,30.86,31.14,30.1,30.7,2942468,0.0,0.0
2023-09-20 00:00:00+03:00,30.7,32.64,30.6,32.22,6483117,0.0,0.0
2023-09-21 00:00:00+03:00,32.22,34.34,31.8,33.7,10950253,0.0,0.0
2023-09-22 00:00:00+03:00,33.7,35.12,33.62,34.52,6017403,0.0,0.0
2023-09-25 00:00:00+03:00,34.52,36.1,34.1,34.84,6549698,0.0,0.0
2023-09-26 00:00:00+03:00,34.88,36.3,33.88,35.06,7225555,0.0,0.0
2023-09-27 00:00:00+03:00,36.6,38.2,35.44,37.74,33134335,0.0,0.0
2023-09-28 00:00:00+03:00,37.74,40.1,37.74,38.94,8425965,0.0,0.0
2023-09-29 00:00:00+03:00,39.5,39.72,37.76,38.4,5121718,0.0,0.0
2023-10-02 00:00:00+03:00,38.42,39.3,37.72,39.0,3973970,0.0,0.0
2023-10-03 00:00:00+03:00,39.34,39.9,38.12,39.9,4325767,0.0,0.0
2023-10-04 00:00:00+03:00,40.2,42.54,39.18,41.02,8281786,0.0,0.0
2023-10-05 00:00:00+03:00,41.2,42.04,40.1,40.56,5628168,0.0,0.0
2023-10-06 00:00:00+03:00,40.3,44.4,39.8,43.26,7559279,0.0,0.0
2023-10-09 00:00:00+03:00,43.0,44.34,41.3,41.3,5140461,0.0,0.0
2023-10-10 00:00:00+03:00,41.3,44.12,41.0,44.0,4895583,0.0,0.0
2023-10-11 00:00:00+03:00,44.0,44.62,42.36,42.64,3168765,0.0,0.0
2023-10-12 00:00:00+03:00,43.72,43.72,40.94,42.78,4711551,0.0,0.0
2023-10-13 00:00:00+03:00,42.18,42.74,39.94,40.34,3559748,0.0,0.0
2023-10-16 00:00:00+03:00,40.84,41.24,39.0,40.2,5053298,0.0,0.0
2023-10-17 00:00:00+03:00,40.6,41.32,40.0,40.5,2967941,0.0,0.0
2023-10-18 00:00:00+03:00,39.74,40.52,39.1,40.38,3125096,0.0,0.0
2023-10-19 00:00:00+03:00,40.56,42.98,40.42,40.78,7505586,0.0,0.0
2023-10-20 00:00:00+03:00,40.78,41.1,37.74,38.46,5900060,0.0,0.0
2023-10-23 00:00:00+03:00,38.9,39.7,36.88,38.66,4436763,0.0,0.0
2023-10-24 00:00:00+03:00,41.42,41.46,40.0,41.12,5249435,0.0,0.0
2023-10-25 00:00:00+03:00,41.2,43.4,39.5,39.76,10398008,0.0,0.0
2023-10-26 00:00:00+03:00,39.24,41.34,38.2,40.4,12060953,0.0,0.0
2023-10-27 00:00:00+03:00,40.56,41.1,38.58,40.78,6558236,0.0,0.0
2023-10-30 00:00:00+03:00,40.2,42.3,39.34,39.84,5023015,0.0,0.0
2023-10-31 00:00:00+03:00,40.44,40.5,37.44,37.44,5535484,0.0,0.0
2023-11-01 00:00:00+03:00,38.0,38.2,34.9,36.32,8504180,0.0,0.0
2023-11-02 00:00:00+03:00,36.48,38.1,36.28,37.5,6667376,0.0,0.0
2023-11-03 00:00:00+03:00,37.5,37.9,36.0,36.98,6108699,0.0,0.0
2023-11-06 00:00:00+03:00,37.1,37.62,36.4,36.6,4658858,0.0,0.0
2023-11-07 00:00:00+03:00,36.6,36.6,35.16,35.42,5642404,0.0,0.0
2023-11-08 00:00:00+03:00,35.56,37.54,35.34,36.18,8614521,0.0,0.0
2023-11-09 00:00:00+03:00,35.7,37.14,35.6,37.02,6763385,0.0,0.0
2023-11-10 00:00:00+03:00,36.88,36.88,34.5,34.64,6796317,0.0,0.0
2023-11-13 00:00:00+03:00,34.58,34.94,32.7,33.0,7105696,0.0,0.0
2023-11-14 00:00:00+03:00,33.12,33.62,32.04,32.48,3834246,0.0,0.0
2023-11-15 00:00:00+03:00,33.0,34.1,32.3,33.92,5345359,0.0,0.0
2023-11-16 00:00:00+03:00,33.6,34.52,33.58,33.8,3487346,0.0,0.0
2023-11-17 00:00:00+03:00,34.12,36.86,33.9,36.32,7775891,0.0,0.0
