Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-02-13 00:00:00-05:00,89.29,90.99,89.29,90.77,6622800,0.0,0.0
2018-02-14 00:00:00-05:00,90.66,91.91,90.08,91.42,7307600,0.0,0.0
2018-02-15 00:00:00-05:00,92.18,93.16,91.54,92.79,7494900,0.0,0.0
2018-02-16 00:00:00-05:00,92.67,94.33,91.67,94.19,16064300,0.0,0.0
2018-02-20 00:00:00-05:00,87.18,88.04,84.59,84.6,52088500,0.0,0.0
2018-02-21 00:00:00-05:00,85.5,85.7,82.02,82.27,49503700,0.0,0.0
2018-02-22 00:00:00-05:00,82.19,83.95,82.08,83.39,20365000,0.0,0.0
2018-02-23 00:00:00-05:00,83.49,84.04,82.48,83.5,12791500,0.0,0.0
2018-02-26 00:00:00-05:00,83.51,84.32,82.9,83.71,14699300,0.0,0.0
2018-02-27 00:00:00-05:00,84.16,84.25,82.26,82.27,13376100,0.0,0.0
2018-02-28 00:00:00-05:00,82.7,82.79,80.9,80.91,14143700,0.0,0.0
2018-03-01 00:00:00-05:00,81.05,81.06,78.84,80.07,18909600,0.0,0.0
2018-03-02 00:00:00-05:00,78.45,79.91,78.42,79.8,19043400,0.0,0.0
2018-03-05 00:00:00-05:00,79.23,81.35,79.17,80.88,13383200,0.0,0.0
2018-03-06 00:00:00-05:00,81.22,81.35,79.67,80.06,11054700,0.0,0.0
2018-03-07 00:00:00-05:00,79.09,79.58,78.51,78.87,11453000,0.0,0.0
2018-03-08 00:00:00-05:00,79.37,79.69,78.98,79.5,9588700,0.52,0.0
2018-03-09 00:00:00-05:00,79.79,80.23,79.15,80.23,9754400,0.0,0.0
2018-03-12 00:00:00-04:00,80.21,80.88,79.47,79.64,8474000,0.0,0.0
2018-03-13 00:00:00-04:00,79.93,80.39,79.56,79.85,7173000,0.0,0.0
2018-03-14 00:00:00-04:00,80.04,80.47,79.12,79.28,11040600,0.0,0.0
2018-03-15 00:00:00-04:00,79.29,80.29,77.68,79.13,16615200,0.0,0.0
2018-03-16 00:00:00-04:00,79.32,81.47,79.12,80.63,28396000,0.0,0.0
2018-03-19 00:00:00-04:00,80.4,80.55,78.76,79.08,12053400,0.0,0.0
2018-03-20 00:00:00-04:00,79.45,79.71,79.01,79.53,8258000,0.0,0.0
2018-03-21 00:00:00-04:00,79.48,81.09,79.29,79.74,11836000,0.0,0.0
2018-03-22 00:00:00-04:00,79.15,79.82,78.66,78.8,12248200,0.0,0.0
2018-03-23 00:00:00-04:00,78.99,79.3,77.12,77.24,10125100,0.0,0.0
2018-03-26 00:00:00-04:00,77.97,79.3,77.87,79.12,9199800,0.0,0.0
2018-03-27 00:00:00-04:00,79.54,79.61,77.3,77.81,6545800,0.0,0.0
2018-03-28 00:00:00-04:00,78.0,79.79,77.94,79.37,11576300,0.0,0.0
2018-03-29 00:00:00-04:00,79.48,80.79,79.37,80.45,9274600,0.0,0.0
2018-04-02 00:00:00-04:00,79.58,79.79,76.72,77.36,19128900,0.0,0.0
2018-04-03 00:00:00-04:00,77.99,78.63,77.36,78.49,9695500,0.0,0.0
2018-04-04 00:00:00-04:00,77.41,79.12,77.26,78.87,6536600,0.0,0.0
